name,src,create_company,report_company,prov,year,price
 重组乙型肝炎疫苗, 国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,上海市,2018,93.5
 重组乙型肝炎疫苗, 国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,上海市,2018,89.5
 重组乙型肝炎疫苗, 国产,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,上海市,2018,83.5
 重组乙型肝炎疫苗, 国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,上海市,2018,41.5
 重组乙型肝炎疫苗, 国产,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,上海市,2018,93.5
 重组乙型肝炎疫苗, 国产,深圳康秦生物制品股份有限公司,深圳康秦生物制品股份有限公司,上海市,2018,225.5
 乙型脑炎灭活疫苗, 国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,上海市,2018,76.5
 ACYW135群脑膜炎球菌多糖疫苗, 国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,上海市,2018,65.5
 ACYW135群脑膜炎球菌多糖疫苗, 国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,上海市,2018,64.5
 A群C群脑膜炎球菌多糖结合疫苗, 国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,上海市,2018,82.5
 A群C群脑膜炎球菌多糖结合疫苗, 国产,罗益（无锡）生物制药有限公司,罗益（无锡）生物制药有限公司,上海市,2018,120.5
 A群C群脑膜炎球菌多糖结合疫苗, 国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,上海市,2018,88.5
 麻疹风疹联合减毒活疫苗, 国产,北京民海生物科技有限公司,北京民海生物科技有限公司,上海市,2018,47.5
 麻腮风联合减毒活疫苗, 国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,上海市,2018,81.5
 水痘减毒活疫苗, 国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,上海市,2018,141.5
 水痘减毒活疫苗, 国产,长春析健生物制品有限公司,长春析健生物制品有限公司,上海市,2018,141.5
 水痘减毒活疫苗, 国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,上海市,2018,149.5
 水痘减毒活疫苗, 国产,长春百克生物科技股份公司,长春百克生物科技股份公司,上海市,2018,155.3
 23价肺炎球菌多糖疫苗, 国产,成都生物制品研究所有限责任公司,成都生物制品研究所有限责任公司,上海市,2018,186.2
 23价肺炎球菌多糖疫苗, 进口,Merck.Sharp.Dohme.Corp.,Merck.Sharp.Dohme.Corp.,上海市,2018,208.5
 23价肺炎球菌多糖疫苗, 国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,上海市,2018,205.5
 13价肺炎球菌多糖结合疫苗, 进口,Pfizer.Ireland.Pharmaceuticals,Pfizer.Ireland.Pharmaceuticals,上海市,2018,703.5
 流感病毒裂解疫苗, 国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,上海市,2018,26.5
 流感病毒裂解疫苗, 国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,上海市,2018,29.5
 流感病毒裂解疫苗, 国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,上海市,2018,33.5
 流感病毒裂解疫苗, 国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,上海市,2018,34.5
 流感病毒裂解疫苗, 国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,上海市,2018,54.5
 流感病毒裂解疫苗, 国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,上海市,2018,45.9
 流感病毒裂解疫苗, 国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,上海市,2018,49.5
 流感病毒裂解疫苗, 国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,上海市,2018,55.5
 甲型肝炎灭活疫苗, 进口,Merck.Sharp.Dohme.Corp.,Merck.Sharp.Dohme.Corp.,上海市,2018,206.5
 甲型肝炎灭活疫苗, 国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,上海市,2018,85.5
 甲型肝炎灭活疫苗, 国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,上海市,2018,95.5
 甲型肝炎灭活疫苗, 国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,上海市,2018,110.5
 腮腺炎减毒活疫苗, 国产,浙江卫信生物药业有限公司,浙江卫信生物药业有限公司,上海市,2018,49.5
 b型流感嗜血杆菌结合疫苗, 国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,上海市,2018,82.5
 b型流感嗜血杆菌结合疫苗, 国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,上海市,2018,70.5
 b型流感嗜血杆菌结合疫苗, 国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,上海市,2018,106.5
 b型流感嗜血杆菌结合疫苗, 国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,上海市,2018,106.3
 人用狂犬病疫苗, 国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,上海市,2018,60.5
 人用狂犬病疫苗, 国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,上海市,2018,47.59
 人用狂犬病疫苗, 国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,上海市,2018,66.5
 人用狂犬病疫苗, 国产,成都康华生物制品有限公司,成都康华生物制品有限公司,上海市,2018,284.4
 人用狂犬病疫苗, 进口,Chiron.Behr.ing.Vaccines.Private.Ltd.,Chiron.Behr.ing.Vaccines.Private.Ltd.,上海市,2018,202.5
 口服轮状病毒活疫苗, 国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,上海市,2018,173.5
 重组B亚单位/菌体霍乱疫苗（肠溶胶囊）儿童用, 国产,上海联合赛尔生物工程有限公司,上海联合赛尔生物工程有限公司,上海市,2018,88.5
 重组戊型肝炎疫苗, 国产,厦门万秦沧海生物科技有限公司,厦门万秦沧海生物科技有限公司,上海市,2018,165.5
 肠道病毒71型灭活疫苗, 国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,上海市,2018,173.5
 肠道病毒71型灭活疫苗, 国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,上海市,2018,193.5
 肠道病毒71型灭活疫苗, 国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,上海市,2018,173.5
 肠道病毒71型灭活疫苗, 国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,上海市,2018,192.5
 无细胞百白破b型流感嗜血杆菌联合疫苗, 国产,北京民海生物科技有限公司,北京民海生物科技有限公司,上海市,2018,285.5
 AC群脑膜炎球菌（结合）b型流感嗜血杆菌（结合）联合疫苗, 国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,上海市,2018,221.5
 吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗, 国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,上海市,2018,604.5
 狂犬病人免疫球蛋白, 国产,华兰生物工程股份有限公司,华兰生物工程股份有限公司,上海市,2018,162.24
 狂犬病人免疫球蛋白, 国产,广东双林生物制药有限公司,广东双林生物制药有限公司,上海市,2018,168.3
 狂犬病人免疫球蛋白, 国产,山东泰邦生物制品有限公司,山东泰邦生物制品有限公司,上海市,2018,174
 狂犬病人免疫球蛋白, 国产,四川远大蜀阳药业股份有限公司,四川远大蜀阳药业股份有限公司,上海市,2018,166.5
 吸附破伤风疫苗, 国产,成都欧林生物科技股份有限公司,成都欧林生物科技股份有限公司,上海市,2018,163.5
 双价人乳头瘤病毒吸附疫苗, 进口,GlaxoSmithKline.Biologicals.S.A.,GlaxoSmithKline.Biologicals.S.A.,上海市,2018,585.5
 四价人乳头瘤病毒疫苗, 进口,Merck.Sharp.&.Dohme.(Australia).Pty.Ltd,Merck.Sharp.&.Dohme.(Australia).Pty.Ltd,上海市,2018,803.5
