name,src,create_company,report_company,prov,year,price
甲型肝炎灭活疫苗（人二倍体细胞），0.5ml/支，西林瓶,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,云南省,2016,80.0
甲型肝炎灭活疫苗（人二倍体细胞），0.5ml/支，西林瓶,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,云南省,2016,85.0
甲型肝炎灭活疫苗（人二倍体细胞），0.5ml/支，西林瓶,国产,北京科园信海医药经营有限公司,北京科园信海医药经营有限公司,云南省,2016,199.0
甲型肝炎灭活疫苗（人二倍体细胞），0.5ml/支，预填充,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,云南省,2016,100.0
甲型肝炎灭活疫苗（人二倍体细胞），0.5ml/支，预填充,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,云南省,2016,108.0
甲型肝炎灭活疫苗（人二倍体细胞），1.0ml/支，西林瓶,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,云南省,2016,90.0
甲型肝炎灭活疫苗（人二倍体细胞），1.0ml/支，西林瓶,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,云南省,2016,90.0
甲型肝炎灭活疫苗（人二倍体细胞），1.0ml/支，预填充,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,云南省,2016,110.0
甲型肝炎灭活疫苗（人二倍体细胞），1.0ml/支，预填充,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,云南省,2016,113.0
冻干甲型肝炎减毒活疫苗，复溶后1.0ml/支，西林瓶,国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,云南省,2016,60.0
冻干甲型肝炎减毒活疫苗，复溶后1.0ml/支，西林瓶,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,云南省,2016,60.0
重组乙型肝炎疫苗（汉逊酵母），10µg/支，西林瓶,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,云南省,2016,13.5
重组乙型肝炎疫苗（汉逊酵母），10µg/支，西林瓶,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,云南省,2016,47.0
重组乙型肝炎疫苗（汉逊酵母），10µg/支，预填充,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,云南省,2016,41.0
重组乙型肝炎疫苗（汉逊酵母），10µg/支，预填充,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,云南省,2016,71.0
重组乙型肝炎疫苗（汉逊酵母），20µg/支，西林瓶,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,云南省,2016,73.0
重组乙型肝炎疫苗（汉逊酵母），0µg支，/预填充,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,云南省,2016,88.0
重组乙型肝炎疫苗（酿酒酵母），10µg支，/西林瓶,国产,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,云南省,2016,74.0
重组乙型肝炎疫苗（酿酒酵母），10µg/支，预填充,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,云南省,2016,45.0
重组乙型肝炎疫苗（酿酒酵母），10µg/支，预填充,国产,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,云南省,2016,80.0
重组乙型肝炎疫苗（酿酒酵母），20µg/支，预填充,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,云南省,2016,70.0
重组乙型肝炎疫苗（酿酒酵母），20µg/支，预填充,国产,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,云南省,2016,89.0
重组乙型肝炎疫苗（酿酒酵母），60µg/支，预填充,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,云南省,2016,220.0
重组乙型肝炎疫苗（CHO细胞），10µg/支，西林瓶,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,云南省,2016,60.0
重组乙型肝炎疫苗（CHO细胞），10µg/支，预填充,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,云南省,2016,70.0
重组乙型肝炎疫苗（CHO细胞），20µg/支，西林瓶,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,云南省,2016,80.0
重组乙型肝炎疫苗（CHO细胞），20µg/支，预填充,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,云南省,2016,90.0
甲型乙型肝炎联合疫苗，0.5ml/支，预填充,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,云南省,2016,118.0
甲型乙型肝炎联合疫苗，1.0ml/支，预填充,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,云南省,2016,128.0
重组戊型肝炎疫苗（大肠埃希菌），0.5ml/支，预填充,国产,厦门万泰沧海生物技术有限公司,厦门万泰沧海生物技术有限公司,云南省,2016,160.0
冻干人用狂犬病疫苗（Vero细胞），复溶后0.5ml/支，西林瓶,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,云南省,2016,58.0
冻干人用狂犬病疫苗（Vero细胞），复溶后0.5ml/支，西林瓶,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,云南省,2016,67.0
冻干人用狂犬病疫苗（Vero细胞），复溶后0.5ml/支，预填充,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,云南省,2016,62.0
冻干人用狂犬病疫苗（Vero细胞），复溶后1.0ml/支，西林瓶,国产,广州诺诚生物制品股份有限公司,广州诺诚生物制品股份有限公司,云南省,2016,53.0
冻干人用狂犬病疫苗（Vero细胞），复溶后1.0ml/支，西林瓶,国产,宁波荣安生物药业有限公司,宁波荣安生物药业有限公司,云南省,2016,54.0
人用狂犬病疫苗（Vero细胞），0.5ml/支，西林瓶,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,云南省,2016,47.0
人用狂犬病疫苗（Vero细胞），1.0ml/支，西林瓶,国产,吉林迈丰生物药业有限公司,吉林迈丰生物药业有限公司,云南省,2016,52.0
人用狂犬病疫苗（Vero细胞），1.0ml/支，西林瓶,国产,中科生物制药股份有限公司,中科生物制药股份有限公司,云南省,2016,47.6
人用狂犬病疫苗（Vero细胞），1.0ml/支，西林瓶,国产,河南远大生物制药有限公司,河南远大生物制药有限公司,云南省,2016,50.6
冻干人用狂犬病疫苗（人二倍体细胞），复溶后1.0ml/支，西林瓶,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,云南省,2016,255.0
人用狂犬病疫苗（鸡胚细胞），复溶后1.0ml/支，西林瓶,国产,科园信海（北京）医疗用品贸易有限公司,科园信海（北京）医疗用品贸易有限公司,云南省,2016,198.0
伤寒Vi多糖疫苗，0.5ml/支，西林瓶,国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,云南省,2016,70.0
乙型脑炎减毒活疫苗，复溶后0.5ml/支，西林瓶,国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,云南省,2016,37.0
乙型脑炎灭活疫苗（Vero细胞），0.5ml/支，西林瓶,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,云南省,2016,70.0
冻干乙型脑炎灭活疫苗（Vero细胞），复溶后0.5ml/支，西林瓶,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,云南省,2016,78.0
A群C群脑膜炎球菌多糖结合疫苗，0.5ml/支，西林瓶,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,云南省,2016,77.0
冻干A群C群脑膜炎球菌多糖结合疫苗，复溶后0.5ml/支，西林瓶,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,云南省,2016,83.0
冻干A群C群脑膜炎球菌多糖结合疫苗，复溶后0.5ml/支，西林瓶,国产,罗益（无锡）生物制药有限公司,罗益（无锡）生物制药有限公司,云南省,2016,115.0
ACYW135群脑膜炎球菌多糖疫苗，复溶后0.5ml/支，西林瓶,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,云南省,2016,48.0
ACYW135群脑膜炎球菌多糖疫苗，复溶后0.5ml/支，西林瓶,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,云南省,2016,59.0
ACYW135群脑膜炎球菌多糖疫苗，复溶后0.5ml/支，西林瓶,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,云南省,2016,60.0
ACYW135群脑膜炎球菌多糖疫苗，复溶后0.5ml/支，西林瓶,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,云南省,2016,61.0
ACYW135群脑膜炎球菌多糖疫苗，复溶后0.5ml/支，西林瓶,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,云南省,2016,65.0
ACYW135群脑膜炎球菌多糖疫苗，复溶后0.5ml/支，预填充,国产,浙江天元生物药业有限公司,浙江天元生物药业有限公司,云南省,2016,86.0
麻腮风联合减毒活疫苗，复溶后0.5ml/支，西林瓶,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,云南省,2016,76.0
麻腮风联合减毒活疫苗，复溶后0.5ml/支，西林瓶,国产,北京天坛生物制品股份有限公司,北京天坛生物制品股份有限公司,云南省,2016,76.0
腮腺炎减毒活疫苗，复溶后0.5ml/支，西林瓶,国产,浙江卫信生物药业有限公司,浙江卫信生物药业有限公司,云南省,2016,44.0
腮腺炎减毒活疫苗，复溶后0.5ml/支，西林瓶,国产,科兴(大连）疫苗技术有限公司,科兴(大连）疫苗技术有限公司,云南省,2016,44.0
麻疹腮腺炎联合减毒活疫苗，复溶后0.5ml/支，西林瓶,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,云南省,2016,68.0
麻疹风疹联合减毒活疫苗，复溶后0.5ml/支，西林瓶,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,云南省,2016,42.0
水痘减毒活疫苗，复溶后0.5ml/支，西林瓶,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,云南省,2016,131.0
水痘减毒活疫苗，复溶后0.5ml/支，西林瓶,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,云南省,2016,136.0
水痘减毒活疫苗，复溶后0.5ml/支，西林瓶,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,云南省,2016,136.0
水痘减毒活疫苗，复溶后0.5ml/支，西林瓶,国产,长春祈健生物制品有限公司,长春祈健生物制品有限公司,云南省,2016,136.0
水痘减毒活疫苗，复溶后0.5ml/支，预填充,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,云南省,2016,148.0
水痘减毒活疫苗，复溶后0.5ml/支，预填充,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,云南省,2016,149.8
"流感病毒裂解疫苗，0.5ml/支，预填充, 可用于孕妇",国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,云南省,2016,65.0
"流感病毒裂解疫苗，0.5ml/支，预填充, 可用于孕妇",国产,杭州诚丰生物医药有限公司,杭州诚丰生物医药有限公司,云南省,2016,128.0
"流感病毒裂解疫苗，0.5ml/支，预填充, 不可用于孕妇",国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,云南省,2016,46.5
"流感病毒裂解疫苗，0.5ml/支，预填充, 不可用于孕妇",国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,云南省,2016,47.5
"流感病毒裂解疫苗，0.5ml/支，预填充, 不可用于孕妇",国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,云南省,2016,48.8
"流感病毒裂解疫苗，0.5ml/支，预填充, 不可用于孕妇",国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,云南省,2016,49.0
