name,src,create_company,report_company,prov,year,price
b型流感嗜血杆菌结合疫苗（HIB）,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,内蒙古自治区,2018,74
b型流感嗜血杆菌结合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,内蒙古自治区,2018,84
麻疹风疹联合减毒活疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,内蒙古自治区,2018,42
无细胞百白破b型流感嗜血杆菌联合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,内蒙古自治区,2018,285
麻腮风联合减毒活疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,内蒙古自治区,2018,76
重组乙型肝炎疫苗（酿酒酵母）,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,内蒙古自治区,2018,36
黄热病减毒活疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,内蒙古自治区,2018,160
麻疹风疹联合减毒活疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,内蒙古自治区,2018,45
A.C.Y.W135群脑膜炎球菌多糖疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,内蒙古自治区,2018,63
A群C群脑膜炎球菌结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,内蒙古自治区,2018,77
b 型流感嗜血杆菌结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,内蒙古自治区,2018,79
A群C群 b 型流感嗜血杆菌结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,内蒙古自治区,2018,218
四价人乳头瘤病毒疫苗疫苗（酿酒酵母）,进口,重庆智飞生物制品股份有限公司,重庆智飞生物制品股份有限公司,内蒙古自治区,2018,798
23价肺炎球菌多糖疫苗（纽莫法）,进口,重庆智飞生物制品股份有限公司,重庆智飞生物制品股份有限公司,内蒙古自治区,2018,204
甲型肝炎灭活疫苗(人二倍体细胞）,进口,重庆智飞生物制品股份有限公司,重庆智飞生物制品股份有限公司,内蒙古自治区,2018,201
冻干水痘减毒活疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,内蒙古自治区,2018,136
冻干水痘减毒活疫苗（二针法）,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,内蒙古自治区,2018,136
冻干水痘减毒活疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,内蒙古自治区,2018,149.8
冻干人用狂犬病疫苗（Vero细胞微载体）,国产,长春长生生物科技股份有限公司,长春长生生物科技股份有限公司,内蒙古自治区,2018,54
冻干人用狂犬病疫苗（Vero细胞微载体）,国产,长春长生生物科技股份有限公司,长春长生生物科技股份有限公司,内蒙古自治区,2018,60
冻干水痘减毒活疫苗,国产,长春长生生物科技股份有限公司,长春长生生物科技股份有限公司,内蒙古自治区,2018,148
流感病毒裂解疫苗（成人型）,国产,长春长生生物科技股份有限公司,长春长生生物科技股份有限公司,内蒙古自治区,2018,51
流感病毒裂解疫苗（成人型）,国产,长春长生生物科技股份有限公司,长春长生生物科技股份有限公司,内蒙古自治区,2018,45
流感病毒裂解疫苗（儿童型）,国产,长春长生生物科技股份有限公司,长春长生生物科技股份有限公司,内蒙古自治区,2018,24
流感病毒裂解疫苗（儿童型）,国产,长春长生生物科技股份有限公司,长春长生生物科技股份有限公司,内蒙古自治区,2018,27
冻干甲型肝炎减毒活疫苗,国产,长春长生生物科技股份有限公司,长春长生生物科技股份有限公司,内蒙古自治区,2018,60
冻干水痘减毒活疫苗,国产,长春长生生物科技股份有限公司,长春长生生物科技股份有限公司,内蒙古自治区,2018,131
ACYW135群脑膜炎球菌多糖疫苗，,国产,长春长生生物科技股份有限公司,长春长生生物科技股份有限公司,内蒙古自治区,2018,65
冻干水痘减毒活疫苗（二针法）,国产,长春长生生物科技股份有限公司,长春长生生物科技股份有限公司,内蒙古自治区,2018,131
水痘减毒活疫苗,国产,长春祈健生物制品有限公司,长春祈健生物制品有限公司,内蒙古自治区,2018,136
冻干甲型肝炎减毒活疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,内蒙古自治区,2018,60
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,内蒙古自治区,2018,31
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,内蒙古自治区,2018,44
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,内蒙古自治区,2018,53
森林脑炎灭活疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,内蒙古自治区,2018,168
ACYW135群脑膜炎球菌多糖疫苗,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,内蒙古自治区,2018,60
冻干人用狂犬病疫苗,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,内蒙古自治区,2018,285
（人二倍体细胞）,,成都康华生物制品有限公司,成都康华生物制品有限公司,内蒙古自治区,2018,
23价肺炎球菌多糖疫苗,国产,成都生物制品研究所有限责任公司,成都生物制品研究所有限责任公司,内蒙古自治区,2018,182
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,内蒙古自治区,2018,47
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,内蒙古自治区,2018,71
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,内蒙古自治区,2018,73
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,内蒙古自治区,2018,88
流感病毒裂解疫苗,国产,大连雅立峰生物科药有限公司,大连雅立峰生物科药有限公司,内蒙古自治区,2018,22.8
流感病毒裂解疫苗,国产,大连雅立峰生物科药有限公司,大连雅立峰生物科药有限公司,内蒙古自治区,2018,24.8
流感病毒裂解疫苗,国产,大连雅立峰生物科药有限公司,大连雅立峰生物科药有限公司,内蒙古自治区,2018,37.8
流感病毒裂解疫苗,国产,大连雅立峰生物科药有限公司,大连雅立峰生物科药有限公司,内蒙古自治区,2018,43.9
人用狂犬病疫苗（Vero细胞）,国产,大连雅立峰生物科药有限公司,大连雅立峰生物科药有限公司,内蒙古自治区,2018,48
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,内蒙古自治区,2018,60
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,内蒙古自治区,2018,70
