name,src,create_company,report_company,prov,year,price
23价肺炎球菌多糖疫苗,进口,Merck Sharp & Dohme Corp.,Merck Sharp & Dohme Corp.,北京市,2018,0
23价肺炎球菌多糖疫苗,国产,成都生物制品研究所有限责任公司,成都生物制品研究所有限责任公司,北京市,2018,0
23价肺炎球菌多糖疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,北京市,2018,0
重组乙型肝炎疫苗（酿酒酵母）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,北京市,2018,0
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,北京市,2018,0
重组乙型肝炎疫苗（酿酒酵母）,国产,浙江天元生物药业有限公司,浙江天元生物药业有限公司,北京市,2018,0
重组乙型肝炎疫苗（酿酒酵母）,国产,浙江天元生物药业有限公司,浙江天元生物药业有限公司,北京市,2018,0
甲型肝炎灭活疫苗（人二倍体细胞）,国产,Merck Sharp & Dohme Corp.,Merck Sharp & Dohme Corp.,北京市,2018,0
甲型乙型肝炎联合疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,北京市,2018,0
甲型乙型肝炎联合疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,北京市,2018,0
重组戊型肝炎疫苗（大肠埃希菌）,国产,厦门万泰沧海生物技术有限公司,厦门万泰沧海生物技术有限公司,北京市,2018,0
b形流感嗜血杆菌结合疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,北京市,2018,0
乙型脑炎灭活疫苗（Vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,北京市,2018,0
重组B亚单位/菌体霍乱疫苗（肠溶胶囊）,国产,上海联合赛尔生物工程有限公司,上海联合赛尔生物工程有限公司,北京市,2018,0
无细胞百白破b型流感嗜血杆菌联合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,北京市,2018,0
吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,进口,SANOFI PASTEUR S.A.,SANOFI PASTEUR S.A.,北京市,2018,0
吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,北京市,2018,0
森林脑炎灭活疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,北京市,2018,0
口服轮状病毒活疫苗,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,北京市,2018,0
人用狂犬病疫苗（鸡胚细胞）,进口,Chiron Behring vaccines private Ltd.（印度）,Chiron Behring vaccines private Ltd.（印度）,北京市,2018,0
冻干人用狂犬病疫苗（人二倍体细胞）,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,北京市,2018,0
肠道病毒71型灭活疫苗（人二倍体细胞）,国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,北京市,2018,0
13价肺炎球菌多糖结合疫苗,进口,Pfizer Ireland Pharmaceuticals,Pfizer Ireland Pharmaceuticals,北京市,2018,0
AC群脑膜炎球菌（结合）b型流感嗜血杆菌（结合）联合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,北京市,2018,0
双价人乳头瘤病毒吸附疫苗,进口,GlaxoSmithKline Biologicals S.A.,GlaxoSmithKline Biologicals S.A.,北京市,2018,0
四价人乳头瘤病毒疫苗（酿酒酵母）,进口,Merck Sharp & Dohme Corp.,Merck Sharp & Dohme Corp.,北京市,2018,0
脊髓灰质炎灭活疫苗（Salk株）,国产,赛诺菲巴斯德,赛诺菲巴斯德,北京市,2018,0
九价人乳头瘤病毒疫苗（酿酒酵母）,进口,Merck Sharp & Dohme Corp.,Merck Sharp & Dohme Corp.,北京市,2018,0
九价人乳头瘤病毒疫苗（酿酒酵母）,进口,Merck Sharp & Dohme Corp.,Merck Sharp & Dohme Corp.,北京市,2018,0
甲型肝炎灭活疫苗（人二倍体细胞）,国产,艾美康淮生物制药（江苏）有限公司,艾美康淮生物制药（江苏）有限公司,北京市,2018,0
甲型肝炎灭活疫苗（人二倍体细胞）,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,北京市,2018,0
麻腮风联合减毒活疫苗,国产,北京北生研生物制品研究所,北京北生研生物制品研究所,北京市,2018,0
麻腮风联合减毒活疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,北京市,2018,0
A群C群脑膜炎球菌多糖结合疫苗,国产,罗益（无锡）生物制药有限公司,罗益（无锡）生物制药有限公司,北京市,2018,0
A群C群脑膜炎球菌多糖结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,北京市,2018,0
吸附破伤风疫苗,国产,成都欧林生物科技股份有限公司,成都欧林生物科技股份有限公司,北京市,2018,0
吸附破伤风疫苗,国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,北京市,2018,0
Sabin株脊髓灰质炎灭活疫苗,国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,北京市,2018,0
Sabin株脊髓灰质炎灭活疫苗（Vero细胞）,国产,北京北生研生物制品研究所,北京北生研生物制品研究所,北京市,2018,0
肠道病毒71型灭活疫苗（Vero细胞）,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,北京市,2018,0
肠道病毒71型灭活疫苗（Vero细胞）,国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,北京市,2018,0
重组乙型肝炎疫苗（酿酒酵母）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,北京市,2018,0
重组乙型肝炎疫苗（汉逊酵母）,国产,艾美汉信疫苗（大连）有限公司,艾美汉信疫苗（大连）有限公司,北京市,2018,0
