name,src,create_company,report_company,prov,year,price
 23价肺炎球菌多糖疫苗,国产, Merk Sharp & Dohme Corp, 北京科园信海医药经营有限公司,吉林省,2017,202.0
 ACYW135群脑膜炎球菌多糖疫苗,国产, 浙江天元生物药业有限公司, 浙江天元生物药业有限公司,吉林省,2017,85.0
 ACYW135群脑膜炎球菌多糖疫苗,国产, 浙江天元生物药业有限公司, 浙江天元生物药业有限公司,吉林省,2017,70.0
 ACYW135群脑膜炎球菌多糖疫苗,国产, 北京智飞绿竹生物制药有限公司, 北京智飞绿竹生物制药有限公司,吉林省,2017,63.0
 ACYW135群脑膜炎球菌多糖疫苗,国产, 长春长生生物科技有限责任公司, 长春长生生物科技有限责任公司,吉林省,2017,65.0
 ACYW135群脑膜炎球菌多糖疫苗,国产, 成都康华生物制品有限公司, 成都康华生物制品有限公司,吉林省,2017,48.0
 ACYW135群脑膜炎球菌多糖疫苗,国产, 华兰生物疫苗有限公司, 华兰生物疫苗有限公司,吉林省,2017,60.0
 ACYW135群脑膜炎球菌多糖疫苗,国产, 玉溪沃森生物技术有限公司, 玉溪沃森生物技术有限公司,吉林省,2017,65.0
 A群C群脑膜炎球菌多糖结合疫苗,国产, 玉溪沃森生物技术有限公司, 玉溪沃森生物技术有限公司,吉林省,2017,83.0
 A群C群脑膜炎球菌多糖结合疫苗,国产, 罗益(无锡)生物制药有限公司, 罗益(无锡)生物制药有限公司,吉林省,2017,115.0
 A群C群脑膜炎球菌多糖疫苗,国产, 玉溪沃森生物技术有限公司, 玉溪沃森生物技术有限公司,吉林省,2017,79.0
 A群C群脑膜炎球菌结合疫苗,国产, 罗益(无锡)生物制药有限公司, 罗益(无锡)生物制药有限公司,吉林省,2017,115.0
 b 型流感嗜血杆菌结合疫苗,国产, 北京民海生物科技有限公司, 北京民海生物科技有限公司,吉林省,2017,74.0
 b 型流感嗜血杆菌结合疫苗,国产, 北京民海生物科技有限公司, 北京民海生物科技有限公司,吉林省,2017,85.0
