name,src,create_company,report_company,prov,year,price
A群C群脑膜炎球菌多糖结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,天津市,2018,77
A群C群脑膜炎球菌多糖结合疫苗,国产,罗益(无锡)生物制药有限公司,罗益(无锡)生物制药有限公司,天津市,2018,114
A群C群脑膜炎球菌多糖结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,天津市,2018,83
ACYW135群脑膜炎球菌多糖疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,天津市,2018,59
23价肺炎球菌多糖疫苗,国产,成都生物制品研究所有限责任公司,成都生物制品研究所有限责任公司,天津市,2018,180
23价肺炎球菌多糖疫苗,国产,重庆智飞生物制品股份有限公司 （生产厂：Merck Sharp & Dohme Corp. ）,重庆智飞生物制品股份有限公司 （生产厂：Merck Sharp & Dohme Corp. ）,天津市,2018,203
23价肺炎球菌多糖疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,天津市,2018,198
b型流感嗜血杆菌结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,天津市,2018,104
b型流感嗜血杆菌结合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,天津市,2018,70.0
b型流感嗜血杆菌结合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,天津市,2018,83
b型流感嗜血杆菌结合疫苗,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,天津市,2018,62
b型流感嗜血杆菌结合疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司 （分包装：深圳赛诺菲巴斯德生物制品有限公司）,深圳赛诺菲巴斯德生物制品有限公司 （分包装：深圳赛诺菲巴斯德生物制品有限公司）,天津市,2018,105
重组B亚单位/菌体霍乱疫苗（肠溶胶囊）,国产,上海联合赛尔生物工程有限公司,上海联合赛尔生物工程有限公司,天津市,2018,85
重组乙型肝炎疫苗（汉逊酵母）,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,天津市,2018,35
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,天津市,2018,46.0
