name,src,create_company,report_company,prov,year,price
重组乙型肝炎疫苗（酿酒酵母）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,宁夏回族自治区,2016,79.5
重组乙型肝炎疫苗（酿酒酵母）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,宁夏回族自治区,2016,42.0
重组乙型肝炎疫苗（酿酒酵母）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,宁夏回族自治区,2016,65.0
重组乙型肝炎疫苗（酿酒酵母）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,宁夏回族自治区,2016,220.0
重组乙型肝炎疫苗（酿酒酵母）,国产,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,宁夏回族自治区,2016,74.0
重组乙型肝炎疫苗（酿酒酵母）,国产,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,宁夏回族自治区,2016,80.0
重组乙型肝炎疫苗（酿酒酵母）,国产,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,宁夏回族自治区,2016,89.0
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,宁夏回族自治区,2016,47.0
重组乙型肝炎疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,宁夏回族自治区,2016,14.2
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,宁夏回族自治区,2016,73.0
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,宁夏回族自治区,2016,70.9
重组乙型肝炎疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,宁夏回族自治区,2016,41.2
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,宁夏回族自治区,2016,88.0
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,宁夏回族自治区,2016,60.0
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,宁夏回族自治区,2016,80.0
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,宁夏回族自治区,2016,70.0
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,宁夏回族自治区,2016,90.0
甲型肝炎灭活疫苗（人二倍体细胞）,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,宁夏回族自治区,2016,100.0
甲型肝炎灭活疫苗（人二倍体细胞）,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,宁夏回族自治区,2016,110.0
甲型肝炎灭活疫苗(人二倍体细胞),国产,Merck Sharp & Dohme Corp.,北京科园信海医药经营有限公司,宁夏回族自治区,2016,204.0
冻干甲型肝炎减毒活疫苗,国产,浙江普康生物技术股份有限公司,浙江普康生物技术股份有限公司,宁夏回族自治区,2016,59.0
冻干甲型肝炎减毒活疫苗,国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,宁夏回族自治区,2016,60.0
冻干甲型肝炎减毒活疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,宁夏回族自治区,2016,60.0
重组B亚单位/菌体霍乱疫苗（肠溶胶囊）,国产,上海联合赛尔生物工程有限公司,上海联合赛尔生物工程有限公司,宁夏回族自治区,2016,198.0
水痘减毒活疫苗,国产,长春祈健生物制品有限公司,长春祈健生物制品有限公司,宁夏回族自治区,2016,136.0
水痘减毒活疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司1,宁夏回族自治区,2016,143.0
水痘减毒活疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,宁夏回族自治区,2016,146.0
水痘减毒活疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司1,宁夏回族自治区,2016,149.8
伤寒Vi多糖疫苗,国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,宁夏回族自治区,2016,70.0
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,宁夏回族自治区,2016,20.0
流感病毒裂解疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,宁夏回族自治区,2016,20.0
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,宁夏回族自治区,2016,38.0
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,宁夏回族自治区,2016,37.0
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,宁夏回族自治区,2016,22.8
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,宁夏回族自治区,2016,27.0
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,宁夏回族自治区,2016,47.0
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,宁夏回族自治区,2016,41.8
流感病毒裂解疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,宁夏回族自治区,2016,45.0
13价肺炎球菌多糖结合疫苗,国产,Pfizer Ireland Pharmaceuticals,科园信海（北京）医疗用品贸易有限公司,宁夏回族自治区,2016,698.0
23价肺炎球菌多糖疫苗,国产,成都生物制品研究所有限责任公司,成都生物制品研究所有限责任公司,宁夏回族自治区,2016,185.0
23价肺炎球菌多糖疫苗,国产,Merck Sharp & Dohme Corp.,北京科园信海医药经营有限公司,宁夏回族自治区,2016,204.0
A群C群脑膜炎球菌多糖结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,宁夏回族自治区,2016,71.0
A群C群脑膜炎球菌多糖结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,宁夏回族自治区,2016,89.0
