name,src,create_company,report_company,prov,year,price
冻干人用狂犬病疫苗（vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,山西省,2018,220元/人份
冻干人用狂犬病疫苗（vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,山西省,2018,65元/支
人用狂犬病疫苗（vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,山西省,2018,170元/人份
乙型脑炎灭活疫苗（Vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,山西省,2018,70元/支
冻干人用狂犬病疫苗（vero细胞）,国产,广州诺诚生物制品股份有限公司,广州诺诚生物制品股份有限公司,山西省,2018,53元/瓶
水痘减毒活疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,山西省,2018,136元/瓶
水痘减毒活疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,山西省,2018,149.8元/瓶
人用狂犬病疫苗（vero细胞）,国产,吉林迈丰生物药业有限公司,吉林迈丰生物药业有限公司,山西省,2018,49元/支
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,山西省,2018,46元/瓶
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,山西省,2018,68.4元/支
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,山西省,2018,70元/瓶
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,山西省,2018,84元/支
双价人乳头瘤病毒吸附疫苗,国产,科园信海（北京）医疗用品贸易有限公司,科园信海（北京）医疗用品贸易有限公司,山西省,2018,580元/支
13价肺炎球菌多糖结合疫苗,国产,科园信海（北京）医疗用品贸易有限公司,科园信海（北京）医疗用品贸易有限公司,山西省,2018,698元/支
流感病毒裂解疫苗,国产,杭州诚丰生物医药有限公司,杭州诚丰生物医药有限公司,山西省,2018,128元/支
肠道病毒72型灭活疫苗（Vero细胞）,国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,山西省,2018,168元/瓶
流感病毒亚单位疫苗,国产,中逸安科生物技术有限公司,中逸安科生物技术有限公司,山西省,2018,168元/支
重组乙型肝炎疫苗（酿酒酵母）,国产,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,山西省,2018,72元/支
重组乙型肝炎疫苗（酿酒酵母）,国产,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,山西省,2018,80元/支
重组乙型肝炎疫苗（酿酒酵母）,国产,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,山西省,2018,89元/支
重组戊型肝炎疫苗（大肠埃希菌）,国产,厦门万泰沧海生物技术有限公司,厦门万泰沧海生物技术有限公司,山西省,2018,160元/支
吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,国产, 国药控股股份有限公司 , 国药控股股份有限公司 ,山西省,2018,599元/支
水痘减毒活疫苗,国产, 长春祈健生物制品有限公司, 长春祈健生物制品有限公司,山西省,2018,136元/支
腮腺炎减毒活疫苗,国产,浙江卫信生物药业有限公司 ,浙江卫信生物药业有限公司 ,山西省,2018,44元/支
双价肾综合征出血热纯化疫苗（Vero细胞）,国产,浙江卫信生物药业有限公司 ,浙江卫信生物药业有限公司 ,山西省,2018,GMP到期，放弃议价
甲型肝炎灭活疫苗（人二倍体细胞）,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,山西省,2018,80元/瓶
冻干人用狂犬病疫苗（vero细胞）,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,山西省,2018,49元/瓶
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,山西省,2018,22元/瓶
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,山西省,2018,27元/瓶
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,山西省,2018,38元/瓶
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,山西省,2018,46元/瓶
冻干人用狂犬病疫苗（vero细胞）,国产,宁波荣安生物药业有限公司,宁波荣安生物药业有限公司,山西省,2018,265元/人份
冻干人用狂犬病疫苗（vero细胞）,国产,宁波荣安生物药业有限公司,宁波荣安生物药业有限公司,山西省,2018,57元/瓶
b型流感嗜血杆菌结合疫苗（液体）,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,山西省,2018,79元/瓶
AC群脑膜炎球菌（结合）b型流感嗜血杆菌（结合）联合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,山西省,2018,222元/瓶
A群C群脑膜炎球菌多糖结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,山西省,2018,77元/瓶
ACYW135群脑膜炎球菌多糖疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,山西省,2018,63元/瓶
麻疹风疹联合减毒活疫苗,国产,北京民海生物科技有限公司    ,北京民海生物科技有限公司    ,山西省,2018,47元/支
b型流感嗜血杆菌结合疫苗（液体）,国产,北京民海生物科技有限公司    ,北京民海生物科技有限公司    ,山西省,2018,74元/支
b型流感嗜血杆菌结合疫苗（液体）,国产,北京民海生物科技有限公司    ,北京民海生物科技有限公司    ,山西省,2018,83元/支
无细胞百白破和b型流感嗜血杆菌（结合）联合疫苗,国产,北京民海生物科技有限公司    ,北京民海生物科技有限公司    ,山西省,2018,280元/支
23价肺炎球菌多糖疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,山西省,2018,200元/支
b型流感嗜血杆菌结合疫苗（液体）,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,山西省,2018,82元/瓶
b型流感嗜血杆菌结合疫苗（液体）,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,山西省,2018,105元/支
A群C群脑膜炎球菌多糖结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,山西省,2018,89元/瓶
ACYW135群脑膜炎球菌多糖疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,山西省,2018,65元/瓶
重组乙型肝炎疫苗（酿酒酵母）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,山西省,2018,26元/支
重组乙型肝炎疫苗（酿酒酵母）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,山西省,2018,45元/支
重组乙型肝炎疫苗（酿酒酵母）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,山西省,2018,65元/支
重组乙型肝炎疫苗（酿酒酵母）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,山西省,2018,228元/支
口服轮状病毒活疫苗,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,山西省,2018,172元/瓶
b型流感嗜血杆菌结合疫苗（液体）,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,山西省,2018,68元/瓶
重组B亚单位/菌体霍乱疫苗（肠溶胶囊）,国产,上海联合赛尔生物工程有限公司,上海联合赛尔生物工程有限公司,山西省,2018,65元/粒
重组B亚单位/菌体霍乱疫苗（肠溶胶囊）儿童用,国产,上海联合赛尔生物工程有限公司,上海联合赛尔生物工程有限公司,山西省,2018,86元/粒
水痘减毒活疫苗,国产,上海荣盛生物药业有限公司,上海荣盛生物药业有限公司,山西省,2018,135.5元/瓶
人用狂犬病疫苗（地鼠肾细胞）,国产,中科生物制药股份有限公司,中科生物制药股份有限公司,山西省,2018,47.6元/支
重组乙型肝炎疫苗（汉逊酵母）,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,山西省,2018,42元/份
重组乙型肝炎疫苗（汉逊酵母）,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,山西省,2018,41元/支
ACYW135群脑膜炎球菌多糖疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,山西省,2018,58元/支
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,山西省,2018,27元/支
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,山西省,2018,39元/瓶
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,山西省,2018,46元/支
吸附破伤风疫苗,国产,成都欧林生物科技股份有限公司,成都欧林生物科技股份有限公司,山西省,2018,158元/支
人用狂犬病疫苗（地鼠肾细胞）,国产,河南远大生物制药有限公司,河南远大生物制药有限公司,山西省,2018,52元/支
冻干人用狂犬病疫苗（人二倍体细胞）,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,山西省,2018,285元/支
ACYW135群脑膜炎球菌多糖疫苗,国产, 成都康华生物制品有限公司, 成都康华生物制品有限公司,山西省,2018,58元/支
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,山西省,2018,31元/支
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,山西省,2018,44元/瓶
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,山西省,2018,53元/支
麻腮风联合减毒活疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,山西省,2018,76元/人分/支
水痘减毒活疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,山西省,2018,136元/人分/支
流感病毒裂解疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,山西省,2018,31元/人分/支
流感病毒裂解疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,山西省,2018,53元/人份/支
冻干人用狂犬病疫苗（vero细胞）,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,山西省,2018,53元/瓶
冻干人用狂犬病疫苗（vero细胞）,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,山西省,2018,60元/支
