name,src,create_company,report_company,prov,year,price
流感病毒裂解疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,广东省,2018,48.98
流感病毒裂解疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,广东省,2018,30.73
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,广东省,2018,20.0
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,广东省,2018,25.3
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,广东省,2018,37.0
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,广东省,2018,43.32
流感病毒裂解疫苗,国产,台湾国光生物科技股份有限公司,杭州诚丰生物医药有限公司,广东省,2018,128.0
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,广东省,2018,43.89
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,广东省,2018,36.96
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,广东省,2018,24.26
流感病毒裂解疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,广东省,2018,49.67
流感病毒裂解疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,广东省,2018,30.62
流感病毒裂解疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,广东省,2018,56.6
流感病毒裂解疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,广东省,2018,43.89
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,广东省,2018,27.0
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,广东省,2018,45.0
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,广东省,2018,42.0
流感病毒裂解疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,广东省,2018,27.0
流感病毒裂解疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,广东省,2018,44.0
流感病毒裂解疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,广东省,2018,44.0
流感病毒裂解疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,广东省,2018,23.0
流感病毒亚单位疫苗,国产,中逸安科生物技术股份有限公司,中逸安科生物技术股份有限公司,广东省,2018,168.0
冻干人用狂犬病疫苗(人二倍体细胞),国产,成都康华生物制品有限公司,成都康华生物制品有限公司,广东省,2018,290.0
人用狂犬病疫苗(Vero细胞),国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,广东省,2018,48.0
冻干人用狂犬病疫苗(Vero细胞),国产,广州诺诚生物制品股份有限公司,广州诺诚生物制品股份有限公司,广东省,2018,53.0
人用狂犬病疫苗(地鼠肾细胞),国产,河南远大生物制药有限公司,河南远大生物制药有限公司,广东省,2018,52.0
人用狂犬病疫苗(Vero细胞),国产,吉林迈丰生物药业有限公司,吉林迈丰生物药业有限公司,广东省,2018,49.0
人用狂犬病疫苗(鸡胚细胞),国产,印度Chiron Behring Vaccines Private Ltd.,科园信海（北京）医疗用品贸易有限公司,广东省,2018,197.0
人用狂犬病疫苗(Vero细胞),国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,广东省,2018,42.09
冻干人用狂犬病疫苗(Vero细胞),国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,广东省,2018,55.0
冻干人用狂犬病疫苗(Vero细胞),国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,广东省,2018,72.0
冻干人用狂犬病疫苗(Vero细胞),国产,宁波荣安生物药业有限公司,宁波荣安生物药业有限公司,广东省,2018,50.0
冻干人用狂犬病疫苗(Vero细胞),国产,长春卫尔赛生物药业有限公司,长春卫尔赛生物药业有限公司,广东省,2018,58.0
冻干人用狂犬病疫苗(Vero细胞),国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,广东省,2018,53.0
甲型肝炎灭活疫苗(人二倍体细胞),国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,广东省,2018,92.4
甲型肝炎灭活疫苗(人二倍体细胞),国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,广东省,2018,76.6
甲型肝炎灭活疫苗(人二倍体细胞),国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,广东省,2018,118.1
甲型肝炎灭活疫苗(人二倍体细胞),国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,广东省,2018,100.79
甲型肝炎灭活疫苗(人二倍体细胞),国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,广东省,2018,100.0
甲型肝炎灭活疫苗(人二倍体细胞),国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,广东省,2018,80.0
甲型肝炎灭活疫苗(人二倍体细胞),国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,广东省,2018,90.0
甲型肝炎灭活疫苗（人二倍体细胞）,国产,Merck Sharp & Dohme Corp.,重庆智飞生物制品股份有限公司,广东省,2018,206.0
重组乙型肝炎疫苗(酿酒酵母),国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,广东省,2018,42.0
重组乙型肝炎疫苗(汉逊酵母),国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,广东省,2018,68.4
重组乙型肝炎疫苗(汉逊酵母),国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,广东省,2018,70.0
重组乙型肝炎疫苗(CHO细胞),国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,广东省,2018,60.0
重组乙型肝炎疫苗(CHO细胞),国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,广东省,2018,70.0
重组乙型肝炎疫苗(CHO细胞),国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,广东省,2018,88.0
重组乙型肝炎疫苗(汉逊酵母),国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,广东省,2018,13.5
重组乙型肝炎疫苗(汉逊酵母),国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,广东省,2018,41.0
重组乙型肝炎疫苗(酿酒酵母),国产,比利时GlaxoSmithKline Biologicals s.a(上海葛兰素史克生物制品有限公司分装),上海葛兰素史克生物制品有限公司,广东省,2018,70.0
重组乙型肝炎疫苗(酿酒酵母),国产,比利时GlaxoSmithKline Biologicals s.a(上海葛兰素史克生物制品有限公司分装),上海葛兰素史克生物制品有限公司,广东省,2018,78.0
重组乙型肝炎疫苗(酿酒酵母),国产,比利时GlaxoSmithKline Biologicals s.a(上海葛兰素史克生物制品有限公司分装),上海葛兰素史克生物制品有限公司,广东省,2018,88.0
重组乙型肝炎疫苗(酿酒酵母),国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,广东省,2018,220.0
重组乙型肝炎疫苗(酿酒酵母),国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,广东省,2018,65.0
重组乙型肝炎疫苗(酿酒酵母),国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,广东省,2018,42.0
甲型乙型肝炎联合疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,广东省,2018,106.67
重组戊型肝炎疫苗(大肠埃希菌),国产,厦门万泰沧海生物技术有限公司,厦门万泰沧海生物技术有限公司,广东省,2018,160.0
水痘减毒活疫苗,国产,上海荣盛生物药业有限公司,上海荣盛生物药业有限公司,广东省,2018,135.5
水痘减毒活疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,广东省,2018,136.0
水痘减毒活疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,广东省,2018,136.0
水痘减毒活疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,广东省,2018,149.8
水痘减毒活疫苗,国产,长春祈健生物制品有限公司,长春祈健生物制品有限公司,广东省,2018,136.0
水痘减毒活疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,广东省,2018,131.0
水痘减毒活疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,广东省,2018,145.4
b型流感嗜血杆菌结合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,广东省,2018,71.5
b型流感嗜血杆菌结合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,广东省,2018,88.7
b型流感嗜血杆菌结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,广东省,2018,73.5
b型流感嗜血杆菌结合疫苗,国产,成都欧林生物科技股份有限公司,成都欧林生物科技股份有限公司,广东省,2018,73.0
b型流感嗜血杆菌结合疫苗,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,广东省,2018,68.4
b型流感嗜血杆菌结合疫苗,国产,法国赛诺菲巴斯德(深圳赛诺菲巴斯德生物制品有限公司分装),深圳赛诺菲巴斯德生物制品有限公司,广东省,2018,100.8
b型流感嗜血杆菌结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,广东省,2018,98.0
b型流感嗜血杆菌结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,广东省,2018,82.0
23价肺炎球菌多糖疫苗,国产,成都生物制品研究所有限责任公司,成都生物制品研究所有限责任公司,广东省,2018,182.0
13价肺炎球菌多糖结合疫苗,国产,爱尔兰Pfizer Ireland Pharmaceuticals,科园信海（北京）医疗用品贸易有限公司,广东省,2018,698.0
23价肺炎球菌多糖疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,广东省,2018,200.0
23价肺炎球菌多糖疫苗,国产,美国默沙东Merck Sharp Dohme,重庆智飞生物制品股份有限公司,广东省,2018,202.5
口服轮状病毒活疫苗,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,广东省,2018,172.0
肠道病毒71型灭活疫苗(Vero细胞),国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,广东省,2018,168.0
肠道病毒71型灭活疫苗(Vero细胞),国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,广东省,2018,188.0
肠道病毒71型灭活疫苗(Vero细胞),国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,广东省,2018,168.0
肠道病毒71型灭活疫苗(人二倍体细胞),国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,广东省,2018,168.0
肠道病毒71型灭活疫苗(人二倍体细胞),国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,广东省,2018,188.0
A群C群脑膜炎球菌多糖结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,广东省,2018,77.0
A群C群脑膜炎球菌结合疫苗,国产,罗益(无锡)生物制药有限公司,罗益(无锡)生物制药有限公司,广东省,2018,115.0
A群C群脑膜炎球菌多糖结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,广东省,2018,85.5
ACYW135群脑膜炎球菌多糖疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,广东省,2018,62.0
ACYW135群脑膜炎球菌多糖疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,广东省,2018,59.5
ACYW135群脑膜炎球菌多糖疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,广东省,2018,60.0
ACYW135群脑膜炎球菌多糖疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,广东省,2018,60.0
麻腮风联合减毒活疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,广东省,2018,76.0
麻腮风联合减毒活疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,广东省,2018,76.0
无细胞百白破b型流感嗜血杆菌联合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,广东省,2018,278.0
吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌(结合)联合疫苗,国产,法国赛诺菲巴斯德,国药控股股份有限公司,广东省,2018,600.0
吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌(结合)联合疫苗,国产,法国赛诺菲巴斯德(深圳赛诺菲巴斯德生物制品有限公司分装),深圳赛诺菲巴斯德生物制品有限公司,广东省,2018,600.0
AC群脑膜炎球菌(结合)b型流感嗜血杆菌(结合)联合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,广东省,2018,222.0
乙型脑炎灭活疫苗(Vero细胞),国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,广东省,2018,69.0
双价人乳头瘤病毒吸附疫苗,国产,GlaxoSmithKline Pharmaceuticals S.A.,科园信海（北京）医疗用品贸易有限公司,广东省,2018,580.0
四价人乳头瘤病毒疫苗(酿酒酵母),国产,Merck Sharp & Dohme Corp.,重庆智飞生物制品股份有限公司,广东省,2018,798.0
吸附破伤风疫苗,国产,成都欧林生物科技股份有限公司,成都欧林生物科技股份有限公司,广东省,2018,158.0
双价肾综合征出血热灭活疫苗(Vero细胞),国产,罗益(无锡)生物制药有限公司,罗益(无锡)生物制药有限公司,广东省,2018,44.0
双价肾综合征出血热灭活疫苗(Vero细胞),国产,浙江卫信生物药业有限公司,浙江卫信生物药业有限公司,广东省,2018,44.0
卡介菌纯蛋白衍生物(BCG-PPD),国产,北京祥瑞生物制品有限公司,北京祥瑞生物制品有限公司,广东省,2018,52.0
卡介菌纯蛋白衍生物(BCG-PPD),国产,成都生物制品研究所有限责任公司,成都生物制品研究所有限责任公司,广东省,2018,52.0
狂犬病人免疫球蛋白,国产,江西博雅生物制药股份有限公司,博雅生物制药集团股份有限公司,广东省,2018,177.2
狂犬病人免疫球蛋白,国产,广东双林生物制药有限公司,广东双林生物制药有限公司,广东省,2018,160.0
狂犬病人免疫球蛋白,国产,贵州泰邦生物制品有限公司,贵州泰邦生物制品有限公司,广东省,2018,180.0
狂犬病人免疫球蛋白,国产,国药集团武汉血液制品有限公司,国药集团武汉血液制品有限公司,广东省,2018,178.0
狂犬病人免疫球蛋白,国产,华兰生物工程股份有限公司,华兰生物工程股份有限公司,广东省,2018,175.0
