name,src,create_company,report_company,prov,year,price
结核菌素纯蛋白衍生物,国产,北京祥瑞生物制品有限公司,北京祥瑞生物制品有限公司,广西壮族自治区,2017,68.0
卡介菌纯蛋白衍生物,国产,北京祥瑞生物制品有限公司,北京祥瑞生物制品有限公司,广西壮族自治区,2017,52.0
吸附破伤风疫苗,国产,成都欧林生物科技股份有限公司,成都欧林生物科技股份有限公司,广西壮族自治区,2017,158.0
乙型肝炎人免疫球蛋白,国产,成都蓉生药业有限责任公司,成都蓉生药业有限责任公司,广西壮族自治区,2017,230.0
乙型肝炎人免疫球蛋白,国产,成都蓉生药业有限责任公司,成都蓉生药业有限责任公司,广西壮族自治区,2017,115.0
狂犬病人免疫球蛋白,国产,国药集团武汉血液制品有限公司,国药集团武汉血液制品有限公司,广西壮族自治区,2017,180.0
乙型脑炎灭活疫苗（Vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,广西壮族自治区,2017,69.0
人用狂犬病疫苗（Vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,广西壮族自治区,2017,42.09
冻干人用狂犬病疫苗（Vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,广西壮族自治区,2017,55.0
冻干乙型脑炎灭活疫苗（Vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,广西壮族自治区,2017,78.0
狂犬病人免疫球蛋白,国产,南岳生物制药有限公司,南岳生物制药有限公司,广西壮族自治区,2017,178.0
破伤风人免疫球蛋白,国产,南岳生物制药有限公司,南岳生物制药有限公司,广西壮族自治区,2017,345.0
乙型肝炎人免疫球蛋白,国产,南岳生物制药有限公司,南岳生物制药有限公司,广西壮族自治区,2017,109.0
乙型肝炎人免疫球蛋白,国产,南岳生物制药有限公司,南岳生物制药有限公司,广西壮族自治区,2017,220.0
流感病毒裂解疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,广西壮族自治区,2017,28.0
流感病毒裂解疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,广西壮族自治区,2017,36.0
23价肺炎球菌多糖疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,广西壮族自治区,2017,200.0
流感病毒亚单位疫苗,国产,中逸安科生物技术股份有限公司,中逸安科生物技术股份有限公司,广西壮族自治区,2017,168.0
四价人乳头瘤病毒疫苗(酿酒酵母),进口,Merck Sharp &Dohme Corp,重庆智飞生物制品股份有限公司,广西壮族自治区,2017,798.0
