name,src,create_company,report_company,prov,year,price
人用狂犬病疫苗（Vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,新疆维吾尔自治区,2017,180.0
人用狂犬病疫苗（地鼠肾细胞）,国产,河南远大生物制药有限公司,河南远大生物制药有限公司,新疆维吾尔自治区,2017,59.0
人用狂犬病疫苗（地鼠肾细胞）,国产,中科生物制药股份有限公司,中科生物制药股份有限公司,新疆维吾尔自治区,2017,248.0
人用狂犬病疫苗（鸡胚细胞）,国产,科园信海（北京）医疗用品贸易有限公司,科园信海（北京）医疗用品贸易有限公司,新疆维吾尔自治区,2017,198.0
冻干人用狂犬病疫苗（Vero细胞,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,新疆维吾尔自治区,2017,220.0
冻干人用狂犬病疫苗（Vero细胞）,国产,广州诺诚生物制品股份有限公司,广州诺诚生物制品股份有限公司,新疆维吾尔自治区,2017,265.0
冻干人用狂犬病疫苗（Vero细胞）,国产,宁波荣安生物药业有限公司,宁波荣安生物药业有限公司,新疆维吾尔自治区,2017,265.0
冻干人用狂犬病疫苗（Vero细胞）,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,新疆维吾尔自治区,2017,53.0
冻干人用狂犬病疫苗（Vero细胞）,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,新疆维吾尔自治区,2017,62.0
冻干人用狂犬病疫苗（人二倍体细胞,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,新疆维吾尔自治区,2017,380.0
冻干甲型肝炎减毒活疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,新疆维吾尔自治区,2017,60.0
冻干甲型肝炎减毒活疫苗,国产,浙江普康生物技术股份有限公司,浙江普康生物技术股份有限公司,新疆维吾尔自治区,2017,59.0
冻干甲型肝炎减毒活疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,新疆维吾尔自治区,2017,60.0
