name,src,create_company,report_company,prov,year,price
麻腮风联合减毒活疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,江西省,2016,76.0
重组乙型肝炎疫苗（酿酒酵母）,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,江西省,2016,35.0
麻疹风疹联合减毒活疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,江西省,2016,40.0
黄热病减毒活疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,江西省,2016,160.0
甲肝灭活疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,江西省,2016,98.0
甲乙肝联合疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,江西省,2016,105.0
肠道病毒71型灭活疫苗（vero细胞）,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,江西省,2016,188.0
甲肝灭活疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,江西省,2016,76.6
甲肝灭活疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,江西省,2016,90.0
甲肝灭活疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,江西省,2016,105.0
流感病毒裂解疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,江西省,2016,23.0
流感病毒裂解疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,江西省,2016,39.0
肠道病毒71型灭活疫苗（vero细胞）,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,江西省,2016,168.0
b型流感嗜血杆菌结合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,江西省,2016,80.0
b型流感嗜血杆菌结合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,江西省,2016,70.0
无细胞百白破b型流感嗜血杆菌联合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,江西省,2016,275.0
麻疹风疹联合减毒活疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,江西省,2016,41.0
ACYW135群脑膜炎球菌多糖疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,江西省,2016,59.0
