name,src,create_company,report_company,prov,year,price
冻干人用狂犬病疫苗(人二倍体细胞),国产,成都康华生物制品有限公司,成都康华生物制品有限公司,河南省,2018,282.00元/支
ACYW135群脑膜炎球菌多糖疫苗,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,河南省,2018,54.50元/支
流感病毒裂解疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,河南省,2018,57元/支
流感病毒裂解疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,河南省,2018,38元/支
水痘减毒活疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,河南省,2018,136元
水痘减毒活疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,河南省,2018,149.80元
水痘减毒活疫苗,国产,上海荣盛生物药业有限公司,上海荣盛生物药业有限公司,河南省,2018,135.50元
重组乙型肝炎疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,河南省,2018,36元/支
麻疹风疹联合减毒活疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,河南省,2018,44.6元/瓶
麻腮风联合减毒活疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,河南省,2018,76元/瓶
黄热减毒活疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,河南省,2018,160元/瓶
甲型肝炎灭活疫苗(人二倍体细胞),国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,河南省,2018,90
甲型肝炎灭活疫苗(人二倍体细胞),国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,河南省,2018,80元/瓶
甲型肝炎灭活疫苗(人二倍体细胞),国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,河南省,2018,108元/支
甲型肝炎灭活疫苗(人二倍体细胞),国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,河南省,2018,101元/支
流感病毒裂解疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,河南省,2018,41元/支
流感病毒裂解疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,河南省,2018,24元/支
肠道病毒71型灭活疫苗(Vero细胞),国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,河南省,2018,167.8
肠道病毒71型灭活疫苗(Vero细胞),国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,河南省,2018,187.7元/支
甲型乙型肝炎联合疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,河南省,2018,106.5元/支
甲型乙型肝炎联合疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,河南省,2018,114元/支
流感病毒亚单位疫苗,国产,中逸安科生物技术股份有限公司,中逸安科生物技术股份有限公司,河南省,2018,168.00元/支
人用狂犬病疫苗(地鼠肾细胞),国产,河南远大生物制药有限公司,河南远大生物制药有限公司,河南省,2018,53.00元/瓶
A、C、Y、W135群脑膜炎球菌多糖疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,河南省,2018,61.50元/瓶
b型流感嗜血杆菌结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,河南省,2018,76.00 元/瓶
A群C群脑膜炎球菌多糖结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,河南省,2018,73.50元/瓶
AC群脑膜炎球菌(结合)b型流感嗜血杆菌(结合)联合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,河南省,2018, 217.80元/瓶
重组乙型肝炎疫苗(汉逊酵母),国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,河南省,2018,42.5
重组乙型肝炎疫苗(汉逊酵母),国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,河南省,2018,13.7
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,河南省,2018,45.4
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,河南省,2018,40.2
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,河南省,2018,25.66
ACYW135群脑膜炎球菌多糖疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,河南省,2018,58.5
b型流感嗜血杆菌结合疫苗,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,河南省,2018,65.4元
轮状病毒活疫苗,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,河南省,2018,172元
吸附破伤风疫苗,国产,成都欧林生物科技股份有限公司,成都欧林生物科技股份有限公司,河南省,2018,158元/瓶
b型流感嗜血杆菌结合疫苗,国产,成都欧林生物科技股份有限公司,成都欧林生物科技股份有限公司,河南省,2018,73元/瓶
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,河南省,2018,39元/瓶
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,河南省,2018,21元/瓶
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,河南省,2018,42元/支
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,河南省,2018,25元/支
人用狂犬病疫苗(Vero细胞),国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,河南省,2018,240元/人份
人用狂犬病疫苗(Vero细胞),国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,河南省,2018,184元/人份
冻干人用狂犬病疫苗(Vero细胞),国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,河南省,2018,228元/人份
冻干人用狂犬病疫苗(Vero细胞),国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,河南省,2018,69元/支
乙型脑炎灭活疫苗(Vero细胞),国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,河南省,2018,75元/瓶
冻干乙型脑炎灭活疫苗(Vero细胞),国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,河南省,2018,78元/瓶
冻干甲型肝炎减毒活疫苗,国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,河南省,2018,60元/瓶
肠道病毒71型灭活疫苗(人二倍体细胞),国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,河南省,2018,168元/瓶
肠道病毒71型灭活疫苗(人二倍体细胞),国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,河南省,2018,188元/支
b型流感嗜血杆菌结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,河南省,2018,81
b型流感嗜血杆菌结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,河南省,2018,103元/支
肺炎球菌疫苗(23价肺炎球菌多糖疫苗),国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,河南省,2018,200元/支
A群C群脑膜炎球菌结合疫苗(A群C群脑膜炎球菌多糖结合疫苗),国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,河南省,2018,87
ACYW135群脑膜炎球菌多糖疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,河南省,2018,64
冻干人用狂犬病疫苗(Vero细胞),国产,广州诺诚生物制品股份有限公司,广州诺诚生物制品股份有限公司,河南省,2018,53.00元/瓶
甲型肝炎减毒活疫苗,国产,浙江普康生物技术股份有限公司,浙江普康生物技术股份有限公司,河南省,2018,59元
重组B亚单位/菌体霍乱疫苗(肠溶胶囊),国产,上海联合赛尔生物工程有限公司,上海联合赛尔生物工程有限公司,河南省,2018,65元/粒
重组B亚单位/菌体霍乱疫苗(肠溶胶囊)儿童用,国产,上海联合赛尔生物工程有限公司,上海联合赛尔生物工程有限公司,河南省,2018,83元/粒
人用狂犬病疫苗(地鼠肾细胞),国产,中科生物制药股份有限公司,中科生物制药股份有限公司,河南省,2018,241.5
人用狂犬病疫苗(地鼠肾细胞),国产,中科生物制药股份有限公司,中科生物制药股份有限公司,河南省,2018,57
人用狂犬病疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,河南省,2018,53元/瓶
人用狂犬病疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,河南省,2018,60.8元/支
水痘减毒活疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,河南省,2018,131元/瓶
