序号,品名,供应商/生产企业,计量单位,中标价（元）
1,国产(液体，儿童，预充注射器装）甲型肝炎灭活疫苗,北京科兴生物制品有限公司,支,98
2,国产(液体，儿童，预充注射器装）甲型肝炎灭活疫苗,江苏康淮生物科技有限公司,支,100
3,国产(液体，成人，预充注射器装）甲型肝炎灭活疫苗,北京科兴生物制品有限公司,支,105
4,国产(液体，成人，预充注射器装）甲型肝炎灭活疫苗,江苏康淮生物科技有限公司,支,110
5,进口（液体，儿童，西林瓶）甲型肝炎灭活疫苗,重庆智飞生物制品股份有限公司,瓶,199
6,国产(液体，儿童，预充注射器装）甲、乙肝联合疫苗,北京科兴生物制品有限公司,支,105
7,国产(液体，预充注射器装)10 pg重组(酵母）乙型肝炎疫苗,深圳康泰生物制品股份有限公司,支,42
8,国产(液体，预充注射器装)10 pg重组(酵母）乙型肝炎疫苗,华兰生物疫苗有限公司,支,41
9,国产(液体，预充注射器装)20 ug重组(酵母）乙型肝炎疫苗,深圳康泰生物制品股份有限公司,支,65
10,国产(液体，预充注射器装)20 ug重组(酵母）乙型肝炎疫苗,大连汉信生物制药有限公司,支,84
11,国产(液体，西林瓶)20 ug重组(酵母）乙型肝炎疫苗,大连汉信生物制药有限公司,瓶,70
12,国产(液体，西林瓶)20ug重组(CHO)乙型肝炎疫苗,华北制药金坦生物技术股份有限公司,瓶,80
13,国产(液体，预充注射器装)20 U g重组(CH0)乙型肝炎疫苗,华北制药金坦生物技术股份有限公司,支,88
14,国产(液体，预充注射器装)60 u g重组(酵母)乙型肝炎疫苗,深圳康泰生物制品股份有限公司,支,220
15,国产(液体，预充注射器装）重组戊型肝炎疫苗(大肠埃希菌）,厦门万泰沧海生物技术有限公司.,支,160
16,国产(冻干，西林瓶)水痘减毒活疫苗（附稀释液）,长春百克生物科技股份公司,瓶,136
17,国产(冻干，西林瓶)水痘减毒活疫苗（附稀释液）,长春祈健生物制品有限公司,瓶,136
18,国产(冻干，西林瓶)水痘减毒活疫苗（附稀释液）,上海生物制品研究所有限责任公司,瓶,136
19,国产(冻干，带预充注射器)水痘减毒活疫苗(附稀释液）,长春百克生物科技股份公司,支,149.8
20,国产(冻干，带预充注射器)水痘减毒活疫苗(附稀释液）,长春长生生物科技有限责任公司,支,145.4
21,国产(液体，预充注射器装）EV71型灭活疫苗（Vero细胞）,北京科兴生物制品有限公司,支,188
22,国产(液体，西林瓶）EV71型灭活疫苗（Vero细胞）,北京科兴生物制品有限公司,瓶,168
23,国产(液体，西林瓶）EV72型灭活疫苗（Vero细胞）,武汉生物制品研宄所有限责任公司,瓶,168
