name,src,create_company,report_company,prov,year,price
流感病毒裂解疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,海南省,2017,26.0
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,海南省,2017,24.0
流感病毒裂解疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,海南省,2017,24.0
流感病毒裂解疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,海南省,2017,29.0
流感病毒裂解疫苗（儿童）,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,海南省,2017,27.0
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,海南省,2017,29.0
流感病毒裂解疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,海南省,2017,27.5
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,海南省,2017,26.0
流感病毒裂解疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,海南省,2017,27.0
流感病毒裂解疫苗（成人）,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,海南省,2017,41.0
流感病毒裂解疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,海南省,2017,47.0
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,海南省,2017,44.0
流感病毒裂解疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,海南省,2017,43.0
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,海南省,2017,42.0
流感病毒裂解疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,海南省,2017,45.0
狂犬病人免疫球蛋白,国产,山东泰邦生物制品有限公司,山东泰邦生物制品有限公司,海南省,2017,158.0
狂犬病人免疫球蛋白,国产,四川远大蜀阳药业股份有限公司,四川远大蜀阳药业股份有限公司,海南省,2017,159.0
狂犬病人免疫球蛋白,国产,华兰生物工程股份有限公司,华兰生物工程股份有限公司,海南省,2017,160.0
狂犬病人免疫球蛋白,国产,广东双林生物制药有限公司,广东双林生物制药有限公司,海南省,2017,160.0
狂犬病人免疫球蛋白,国产,山西康宝生物制品股份有限公司,山西康宝生物制品股份有限公司,海南省,2017,159.9
狂犬病人免疫球蛋白,国产,武汉中原瑞德生物制品有限责任公司,武汉中原瑞德生物制品有限责任公司,海南省,2017,160.0
狂犬病人免疫球蛋白,国产,江西博雅生物制药股份有限公司,江西博雅生物制药股份有限公司,海南省,2017,159.0
狂犬病人免疫球蛋白,国产,南岳生物制药有限公司,南岳生物制药有限公司,海南省,2017,160.0
流感病毒裂解疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,海南省,2017,49.0
流感病毒裂解疫苗（成人）,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,海南省,2017,47.0
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,海南省,2017,49.0
流感病毒裂解疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,海南省,2017,47.5
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,海南省,2017,48.0
流感病毒裂解疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,海南省,2017,49.0
A、C、Y、W135群脑膜炎球菌多糖疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,海南省,2017,63.0
ACYW135群脑膜炎球菌多糖疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,海南省,2017,65.0
ACYW135群脑膜炎球菌多糖疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,海南省,2017,60.0
ACYW135群脑膜炎球菌多糖疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,海南省,2017,60.0
ACYW135群脑膜炎球菌多糖疫苗,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,海南省,2017,65.0
b型流感嗜血杆菌结合疫苗,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,海南省,2017,68.0
b型流感嗜血杆菌结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,海南省,2017,78.0
b型流感嗜血杆菌结合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,海南省,2017,76.0
b型流感嗜血杆菌结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,海南省,2017,82.0
水痘减毒活疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,海南省,2017,136.0
冻干水痘减毒活疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,海南省,2017,131.0
水痘减毒活疫苗,国产,长春祈健生物制品有限公司,长春祈健生物制品有限公司,海南省,2017,136.0
水痘减毒活疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,海南省,2017,136.0
破伤风人免疫球蛋白,国产,山东泰邦生物制品有限公司,山东泰邦生物制品有限公司,海南省,2017,318.0
破伤风人免疫球蛋白,国产,成都蓉生药业有限责任公司,成都蓉生药业有限责任公司,海南省,2017,325.0
破伤风人免疫球蛋白,国产,同路生物制药有限公司,同路生物制药有限公司,海南省,2017,325.0
破伤风人免疫球蛋白,国产,广东双林生物制药有限公司,广东双林生物制药有限公司,海南省,2017,315.0
破伤风人免疫球蛋白,国产,贵州泰邦生物制品有限公司,贵州泰邦生物制品有限公司,海南省,2017,325.0
破伤风人免疫球蛋白,国产,华兰生物工程重庆有限公司,华兰生物工程重庆有限公司,海南省,2017,315.0
破伤风人免疫球蛋白,国产,南岳生物制药有限公司,南岳生物制药有限公司,海南省,2017,325.0
