name,src,create_company,report_company,prov,year,price
23价肺炎球菌多糖疫苗,国产,Merck Sharp & Dohme Corp,重庆智飞生物制品股份有限公司,湖南省,2018,200.0
甲型肝炎灭活疫苗（人二倍体细胞）,国产,Merck Sharp & Dohme Corp,重庆智飞生物制品股份有限公司,湖南省,2018,199.0
口服五价重配轮状病毒减毒活疫苗（Vero细胞）,国产,Merck Sharp & Dohme Corp.,重庆智飞生物制品股份有限公司,湖南省,2018,280.0
四价人乳头瘤病毒疫苗,国产,Merck Sharp & Dohme Corp.,重庆智飞生物制品股份有限公司,湖南省,2018,798.0
九价人乳头瘤病毒疫苗,国产,Merck Sharp & Dohme Corp.,重庆智飞生物制品股份有限公司,湖南省,2018,1298.0
九价人乳头瘤病毒疫苗,国产,MSD Ireland;Merck Sharp & Dohme Corp.,重庆智飞生物制品股份有限公司,湖南省,2018,1298.0
流感病毒亚单位疫苗,国产,中逸安科生物技术股份有限公司,中逸安科生物技术股份有限公司,湖南省,2018,168.0
人用狂犬病疫苗（地鼠肾细胞）,国产,中科生物制药股份有限公司,中科生物制药股份有限公司,湖南省,2018,56.0
肠道病毒71型灭活疫苗(人二倍体细胞),国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,湖南省,2018,188.0
甲型肝炎减毒活疫苗,国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,湖南省,2018,60.0
肠道病毒71型灭活疫苗(人二倍体细胞),国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,湖南省,2018,168.0
重组乙型肝炎疫苗(酿酒酵母),国产,浙江天元生物药业有限公司,浙江天元生物药业有限公司,湖南省,2018,88.0
重组乙型肝炎疫苗(酿酒酵母),国产,浙江天元生物药业有限公司,浙江天元生物药业有限公司,湖南省,2018,78.0
甲型肝炎减毒活疫苗,国产,浙江普康生物技术股份有限公司,浙江普康生物技术股份有限公司,湖南省,2018,59.0
ACYW135群脑膜炎球菌多糖疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,湖南省,2018,60.0
b型流感嗜血杆菌结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,湖南省,2018,98.0
b型流感嗜血杆菌结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,湖南省,2018,81.0
23价肺炎球菌多糖疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,湖南省,2018,200.0
A群C群脑膜炎球菌多糖结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,湖南省,2018,83.0
重组戊型肝炎疫苗(大肠埃希菌),国产,厦门万泰沧海生物技术有限公司,厦门万泰沧海生物技术有限公司,湖南省,2018,160.0
肠道病毒71型灭活疫苗(Vero细胞),国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,湖南省,2018,168.0
伤寒Vi多糖疫苗,国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,湖南省,2018,60.0
b型流感嗜血杆菌结合疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,湖南省,2018,100.8
流感病毒裂解疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,湖南省,2018,29.0
流感病毒裂解疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,湖南省,2018,45.0
吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌(结合)联合疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,湖南省,2018,599.0
重组乙型肝炎疫苗(酿酒酵母),国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,湖南省,2018,23.0
重组乙型肝炎疫苗(酿酒酵母),国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,湖南省,2018,42.0
重组乙型肝炎疫苗(酿酒酵母),国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,湖南省,2018,65.0
重组乙型肝炎疫苗(酿酒酵母),国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,湖南省,2018,220.0
流感病毒裂解疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,湖南省,2018,27.2
流感病毒裂解疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,湖南省,2018,47.0
麻腮风联合减毒活疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,湖南省,2018,76.0
水痘减毒活疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,湖南省,2018,136.0
麻疹腮腺炎联合减毒活疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,湖南省,2018,58.0
水痘减毒活疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,湖南省,2018,155.0
水痘减毒活疫苗,国产,上海荣盛生物药业有限公司,上海荣盛生物药业有限公司,湖南省,2018,135.5
重组B亚单位/菌体霍乱疫苗,国产,上海联合赛尔生物工程有限公司,上海联合赛尔生物工程有限公司,湖南省,2018,65.0
重组B亚单位/菌体霍乱疫苗（儿童用）,国产,上海联合赛尔生物工程有限公司,上海联合赛尔生物工程有限公司,湖南省,2018,83.0
人用狂犬病疫苗（VERO细胞),国产,宁波荣安生物药业有限公司,宁波荣安生物药业有限公司,湖南省,2018,44.0
双价肾综合征出血热灭活疫苗(Vero细胞),国产,罗益（无锡）生物制药有限公司,,湖南省,2018,44.0
A群C群脑膜炎球菌多糖结合疫苗,国产,罗益（无锡）生物制药有限公司,,湖南省,2018,115.0
人用狂犬病疫苗（VERO细胞）,国产,辽宁成大生物股份有限公司,,湖南省,2018,42.09
乙型脑炎灭活疫苗（VERO细胞）,国产,辽宁成大生物股份有限公司,,湖南省,2018,69.0
冻干乙型脑炎灭活疫苗（VERO细胞）,国产,辽宁成大生物股份有限公司,,湖南省,2018,70.0
冻干人用狂犬病疫苗（VERO细胞）,国产,辽宁成大生物股份有限公司,,湖南省,2018,55.0
口服轮状病毒活疫苗,国产,兰州生物制品研究所有限责任公司,,湖南省,2018,172.0
b型流感嗜血杆菌结合疫苗,国产,兰州生物制品研究所有限责任公司,,湖南省,2018,58.8
人用狂犬病疫苗(鸡胚细胞),国产,科园信海（北京）医疗用品贸易有限公司,,湖南省,2018,197.0
13价肺炎球菌多糖结合疫苗,国产,科园信海（北京）医疗用品贸易有限公司,,湖南省,2018,698.0
双价人乳头瘤病毒吸附疫苗,国产,科园信海（北京）医疗用品贸易有限公司,,湖南省,2018,580.0
腮腺炎减毒活疫苗,国产,科兴（大连）疫苗技术有限公司,,湖南省,2018,44.0
人用狂犬病疫苗（VERO细胞),国产,吉林迈丰生物药业有限公司,,湖南省,2018,49.0
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,,湖南省,2018,23.0
