name,src,create_company,report_company,prov,year,price
人用狂犬病疫苗（Vero细胞）,国产,吉林迈丰生物药业有限公司,吉林迈丰生物药业有限公司,西藏,2017,49/瓶
人用狂犬病疫苗（Vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,西藏,2017,180/人份（4瓶）
人用狂犬病疫苗（地鼠肾细胞）,国产,河南远大生物制药有限公司,河南远大生物制药有限公司,西藏,2017,59/瓶
人用狂犬病疫苗（地鼠肾细胞）,国产,中科生物制药股份有限公司,中科生物制药股份有限公司,西藏,2017,248/人份（5瓶）
人用狂犬病疫苗（鸡胚细胞）,国产,科园信海（北京）医疗用品贸易有限公司,科园信海（北京）医疗用品贸易有限公司,西藏,2017,198/瓶
冻干人用狂犬病疫苗（Vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,西藏,2017,220/人份（4瓶）
冻干人用狂犬病疫苗（Vero细胞）,国产,广州诺诚生物制品股份有限公司,广州诺诚生物制品股份有限公司,西藏,2017,265/人份（5瓶）
冻干人用狂犬病疫苗（Vero细胞）,国产,宁波荣安生物药业有限公司,宁波荣安生物药业有限公司,西藏,2017,265/人份（5瓶）
冻干人用狂犬病疫苗（人二倍体细胞,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,西藏,2017,380/瓶
冻干甲型肝炎减毒活疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,西藏,2017,60/瓶
冻干甲型肝炎减毒活疫苗,国产,浙江普康生物技术股份有限公司,浙江普康生物技术股份有限公司,西藏,2017,59/瓶
冻干甲型肝炎减毒活疫苗,国产,中国医学科学院医学生物研究所,中国医学科学院医学生物研究所,西藏,2017,60/瓶
甲型肝炎灭活疫苗（人二倍体细胞）,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,西藏,2017,100/瓶
甲型肝炎灭活疫苗（人二倍体细胞）,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,西藏,2017,135/支
甲型肝炎灭活疫苗（人二倍体细胞）,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,西藏,2017,95/瓶
甲型肝炎灭活疫苗（人二倍体细胞）,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,西藏,2017,125/支
甲型肝炎灭活疫苗（人二倍体细胞）,国产,重庆智飞生物制品股份有限公司,重庆智飞生物制品股份有限公司,西藏,2017,210/瓶
甲型肝炎灭活疫苗（人二倍体细胞）,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,西藏,2017,90/瓶
甲型肝炎灭活疫苗（人二倍体细胞）,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,西藏,2017,110/支
甲型肝炎灭活疫苗（人二倍体细胞）,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,西藏,2017,80/瓶
甲型肝炎灭活疫苗（人二倍体细胞）,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,西藏,2017,100/支
甲型乙型肝炎联合疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,西藏,2017,165/支
甲型乙型肝炎联合疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,西藏,2017,155/支
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,西藏,2017,91/支
