name,src,create_company,report_company,prov,year,price
伤寒Vi多糖疫苗,国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,贵州省,2018,0.0
重组B亚单位/菌体霍乱疫苗,国产,上海联合赛尔生物工程有限公司,上海联合赛尔生物工程有限公司,贵州省,2018,65.0
A群C群脑膜炎球菌多糖结合疫苗（冻干）2针法,国产,罗益（无锡）生物制药有限公司,罗益（无锡）生物制药有限公司,贵州省,2018,115.0
A+C群脑膜炎球菌多糖结合疫苗（水剂）,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,贵州省,2018,77.0
A+C群脑膜炎球菌多糖结合疫苗（冻干）3针法,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,贵州省,2018,83.0
ACYW135群脑膜炎球菌多糖疫苗（冻干）,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,贵州省,2018,60.0
ACYW135群脑膜炎球菌多糖疫苗（冻干）,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,贵州省,2018,61.0
ACYW135群脑膜炎球菌多糖疫苗（冻干）,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,贵州省,2018,48.0
ACYW135群脑膜炎球菌多糖疫苗（冻干）,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,贵州省,2018,60.0
ACYW135群脑膜炎球菌多糖疫苗（冻干）,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,贵州省,2018,57.8
AC群脑膜炎球菌（结合）b型流感嗜血杆菌联合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,贵州省,2018,216.0
b型流感嗜血杆菌结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,贵州省,2018,78.0
b型流感嗜血杆菌结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,贵州省,2018,81.0
b型流感嗜血杆菌结合疫苗,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,贵州省,2018,0.0
b型流感嗜血杆菌结合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,贵州省,2018,74.0
b型流感嗜血杆菌结合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,贵州省,2018,80.0
b型流感嗜血杆菌结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,贵州省,2018,98.0
吸附无细胞百白破b型流感嗜血杆菌联合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,贵州省,2018,280.0
乙型脑炎灭活疫苗（vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,贵州省,2018,69.0
冻干人用狂犬病疫苗（vero细胞）,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,贵州省,2018,53.0
冻干人用狂犬病疫苗（vero细胞）,国产,长春卫尔赛生物药业有限公司,长春卫尔赛生物药业有限公司,贵州省,2018,58.0
