name,src,create_company,report_company,prov,year,price
乙肝疫苗,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,重庆市,2016,80元/支
乙肝疫苗,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,重庆市,2016,90元/支
乙肝疫苗,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,重庆市,2016,25元/支
乙肝疫苗,国产,北京天坛生物制品股份有限公司,北京天坛生物制品股份有限公司,重庆市,2016,36元/支
乙肝疫苗,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,重庆市,2016,70元/支
乙肝疫苗,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,重庆市,2016,45元/支
乙肝疫苗,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,重庆市,2016,220元/支
乙肝疫苗,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,重庆市,2016,73元/瓶
乙肝疫苗,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,重庆市,2016,88元/支
乙肝疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,重庆市,2016,41元/支
乙肝疫苗,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,重庆市,2016,71元/支
乙肝免疫球蛋白,国产,深圳市卫光生物制品股份有限公司,深圳市卫光生物制品股份有限公司,重庆市,2016,110元/支
乙肝免疫球蛋白,国产,同路生物制药有限公司,同路生物制药有限公司,重庆市,2016,110元/支
乙肝免疫球蛋白,国产,山东泰邦生物制品有限公司,山东泰邦生物制品有限公司,重庆市,2016,110元/支
乙肝免疫球蛋白,国产,深圳市卫光生物制品股份有限公司,深圳市卫光生物制品股份有限公司,重庆市,2016,220元/支
乙肝免疫球蛋白,国产,同路生物制药有限公司,同路生物制药有限公司,重庆市,2016,225元/支
乙肝免疫球蛋白,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,重庆市,2016,238元/支
人用狂犬病疫苗,国产,中科生物制药股份有限公司,中科生物制药股份有限公司,重庆市,2016,47.6元/瓶（238元/人份）
人用狂犬病疫苗,国产,河南远大生物制药有限公司,河南远大生物制药有限公司,重庆市,2016,252元/人份
人用狂犬病疫苗,国产,宁波荣安生物药业有限公司,宁波荣安生物药业有限公司,重庆市,2016,265元/人份
人用狂犬病疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,重庆市,2016,58元/支（290元/人份）
人用狂犬病疫苗,国产,广州诺诚生物制品股份有限公司,广州诺诚生物制品股份有限公司,重庆市,2016,53元/支
人用狂犬病疫苗,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,重庆市,2016,67元/支
人用狂犬病疫苗,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,重庆市,2016,188元/人份
人用狂犬病疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,重庆市,2016,62元/支
人用狂犬病疫苗,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,重庆市,2016,255元/瓶
狂犬病人免疫球蛋白,国产,深圳市卫光生物制品股份有限公司,深圳市卫光生物制品股份有限公司,重庆市,2016,168元/瓶
狂犬病人免疫球蛋白,国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,重庆市,2016,180元/瓶
狂犬病人免疫球蛋白,国产,广东双林生物制药有限公司,广东双林生物制药有限公司,重庆市,2016,175元/瓶
狂犬病人免疫球蛋白,国产,华兰生物工程股份有限公司,华兰生物工程股份有限公司,重庆市,2016,165元/瓶
狂犬病人免疫球蛋白,国产,四川远大蜀阳药业股份有限公司,四川远大蜀阳药业股份有限公司,重庆市,2016,165元/瓶
b型流感嗜血杆菌疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,重庆市,2016,85元/支
b型流感嗜血杆菌疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,重庆市,2016,105元/支
b型流感嗜血杆菌疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,重庆市,2016,68元/瓶
b型流感嗜血杆菌疫苗,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,重庆市,2016,68元/支
b型流感嗜血杆菌疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,重庆市,2016,74元/瓶
b型流感嗜血杆菌疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,重庆市,2016,82元/支
流脑疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,重庆市,2016,63元/瓶
流脑疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,重庆市,2016,83元/支
流脑疫苗,国产,罗益（无锡）生物制药有限公司,罗益（无锡）生物制药有限公司,重庆市,2016,115元/瓶
流脑疫苗,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,重庆市,2016,48元/支
流脑疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,重庆市,2016,59元/瓶
流脑疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,重庆市,2016,60元/人份
流脑疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,重庆市,2016,65元/支
流脑疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,重庆市,2016,65元/支
水痘疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,重庆市,2016,131元/支
水痘疫苗,国产,长春祈健生物制品有限公司,长春祈健生物制品有限公司,重庆市,2016,136元/瓶
水痘疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,重庆市,2016,136元/瓶
水痘疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,重庆市,2016,136元/瓶
水痘疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,重庆市,2016,148元/支
流行性感冒疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,重庆市,2016,49元/支
流行性感冒疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,重庆市,2016,51元/支
