name,src,create_company,report_company,prov,year,price
甲型肝炎灭活疫苗（人二倍体细胞）,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,陕西省,2016,82.00元/支
甲型肝炎灭活疫苗（人二倍体细胞）,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,陕西省,2016,80.00元/支
甲型肝炎灭活疫苗（人二倍体细胞）,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,陕西省,2016,102.00元/支
甲型肝炎灭活疫苗（人二倍体细胞）,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,陕西省,2016,100.00元/支
甲型肝炎灭活疫苗（人二倍体细胞）,国产,重庆智飞生物制品股份有限公司,重庆智飞生物制品股份有限公司,陕西省,2016,204.00元/支
甲型肝炎灭活疫苗（人二倍体细胞）,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,陕西省,2016,90.00元/支
甲型肝炎灭活疫苗（人二倍体细胞）,国产,江苏康淮生物科技有限公司,江苏康淮生物科技有限公司,陕西省,2016,90.00元/支
甲型肝炎灭活疫苗（人二倍体细胞）,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,陕西省,2016,108.00元/支
冻干甲型肝炎,国产,中国医学科学院医学生物学研究所,中国医学科学院医学生物学研究所,陕西省,2016,58.00元/支
减毒活疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,陕西省,2016,57.50元/支
冻干甲型肝炎,国产,浙江普康生物技术股份有限公司,浙江普康生物技术股份有限公司,陕西省,2016,59.00元/支
重组乙型肝炎,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,陕西省,2016,14.00元/支
疫苗（酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,陕西省,2016,46.00元/支
重组乙型肝炎,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,陕西省,2016,41.00元/支
疫苗（酵母）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,陕西省,2016,42.00元/支
重组乙型肝炎,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,陕西省,2016,26.00元/支
疫苗（酵母）,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,陕西省,2016,36.00元/支
重组乙型肝炎,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,陕西省,2016,65.00元/支
疫苗（酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,陕西省,2016,84.00元/支
重组乙型肝炎,国产,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,陕西省,2016,80.00元/支
重组乙型肝炎,国产,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,陕西省,2016,89.00元/支
重组乙型肝炎,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,陕西省,2016,220.00元/支
重组乙型肝炎,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,陕西省,2016,60.00元/支
重组乙型肝炎,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,陕西省,2016,70.00元/支
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,陕西省,2016,80.00元/支
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,陕西省,2016,90.00元/支
甲型乙型肝炎联合疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,陕西省,2016,105.00元/支
重组戊型肝炎疫苗（大肠埃希菌）,国产,厦门万泰沧海生物技术有限公司,厦门万泰沧海生物技术有限公司,陕西省,2016,160.00元/支
冻干人用狂犬病疫苗（Vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,陕西省,2016,220.00元/人份
冻干人用狂犬病疫苗（Vero细胞）,国产,长春卫尔赛生物药业有限公司,长春卫尔赛生物药业有限公司,陕西省,2016,58.00元/支
冻干人用狂犬病疫苗（Vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,陕西省,2016,275.00元/人份；55元/支
冻干人用狂犬病疫苗（Vero细胞）,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,陕西省,2016,60.00元/支
冻干人用狂犬病疫苗（Vero细胞）,国产,宁波荣安生物药业有限公司,宁波荣安生物药业有限公司,陕西省,2016,265.00元/人份
人用狂犬病疫苗（Vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,陕西省,2016,42.09元/支
人用狂犬病疫苗（Vero细胞）,国产,吉林迈丰生物药业有限公司,吉林迈丰生物药业有限公司,陕西省,2016,245.00元/人份
人用狂犬病疫苗（Vero细胞）,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,陕西省,2016,48.00元/支
冻干人用狂犬病疫苗（人二倍体细胞）,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,陕西省,2016,285.00元/支
人用狂犬病疫苗（鸡胚细胞）,国产,科园信海（北京）医疗用品贸易有限公司,科园信海（北京）医疗用品贸易有限公司,陕西省,2016,198.00元/支
人用狂犬病疫苗（地鼠肾细胞）,国产,中科生物制药股份有限公司,中科生物制药股份有限公司,陕西省,2016,238.00元/人份
人用狂犬病疫苗（地鼠肾细胞）,国产,河南远大生物制药有限公司,河南远大生物制药有限公司,陕西省,2016,51.00元/支
人用狂犬病疫苗(单支包装),国产,宁波荣安生物药业有限公司,宁波荣安生物药业有限公司,陕西省,2016,57.00元/支
人用狂犬病疫苗(单支包装),国产,广州诺诚生物制品股份有限公司,广州诺诚生物制品股份有限公司,陕西省,2016,53.00元/支
人用狂犬病疫苗(单支包装),国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,陕西省,2016,65.00元/支
伤寒Vi多糖疫苗,国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,陕西省,2016,70.00元/支
乙型脑炎灭活疫苗（Vero细胞）,国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,陕西省,2016,70.00元/支
A群C群脑膜炎球菌多糖结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,陕西省,2016,75.00元/支
冻干A群C群脑膜炎球菌多糖结合疫苗,国产,罗益(无锡)生物制药有限公司,罗益(无锡)生物制药有限公司,陕西省,2016,115.00元/支
冻干A群C群脑膜炎球菌多糖结合疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,陕西省,2016,89.00元/支
ACYW135群脑膜炎球菌多糖疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,陕西省,2016,57.80元/支
ACYW135群脑膜炎球菌多糖疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,陕西省,2016,60.00元/支
ACYW135群脑膜炎球菌多糖疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,陕西省,2016,60.00元/支
麻腮风联合,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,陕西省,2016,76.00元/支
减毒活疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,陕西省,2016,76.00元/支
腮腺炎减毒,国产,浙江卫信生物药业有限公司,浙江卫信生物药业有限公司,陕西省,2016,44.00元/支
活疫苗,国产,科兴（大连）疫苗技术有限公司,科兴（大连）疫苗技术有限公司,陕西省,2016,44.00元/支
麻疹腮腺炎,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,陕西省,2016,68.00元/支
麻疹风疹,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,陕西省,2016,42.00元/支
联合减毒活疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,陕西省,2016,45.00元/支
水痘减毒活疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,陕西省,2016,131.00元/支
水痘减毒活疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,陕西省,2016,136.00元/支
水痘减毒活疫苗,国产,长春祈健生物制品有限公司,长春祈健生物制品有限公司,陕西省,2016,136.00元/支
水痘减毒活疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,陕西省,2016,136.00元/支
水痘减毒活疫苗,国产,上海荣盛生物药业有限公司,上海荣盛生物药业有限公司,陕西省,2016,135.50元/支
水痘减毒活疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,陕西省,2016,148.00元/支
水痘减毒活疫苗,国产,长春百克生物科技股份公司,长春百克生物科技股份公司,陕西省,2016,149.80元/支
流感病毒裂解疫苗（可用于孕妇）,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,陕西省,2016,45.00元/支
流感病毒裂解疫苗,国产,北京科兴生物制品有限公司,北京科兴生物制品有限公司,陕西省,2016,39.00元/支
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,陕西省,2016,42.00元/支
流感病毒裂解疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,陕西省,2016,47.50元/支
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,陕西省,2016,36.00元/支
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,陕西省,2016,37.00元/支
流感病毒裂解疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,陕西省,2016,45.00元/支
流感病毒裂解疫苗,国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,陕西省,2016,29.00元/支
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,陕西省,2016,23.00元/支
流感病毒裂解疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,陕西省,2016,27.00元/支
流感病毒裂解疫苗,国产,上海生物制品研究所有限责任公司,上海生物制品研究所有限责任公司,陕西省,2016,27.20元/支
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,陕西省,2016,20.00元/支
流感病毒裂解疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,陕西省,2016,24.00元/支
流感亚单位疫苗,国产,中逸安科生物技术股份有限公司,中逸安科生物技术股份有限公司,陕西省,2016,168.00元/支
流感病毒裂解疫苗,国产,杭州诚丰生物医药有限公司,杭州诚丰生物医药有限公司,陕西省,2016,128.00元/支
口服轮状病毒活疫苗,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,陕西省,2016,172.00元/支
b型流感嗜血杆菌结合疫苗（无佐剂）,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,陕西省,2016,66.00元/支
b型流感嗜血杆菌结合疫苗（无佐剂）,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,陕西省,2016,70.00元/支
b型流感嗜血杆菌结合疫苗（无佐剂）,国产,成都欧林生物科技股份有限公司,成都欧林生物科技股份有限公司,陕西省,2016,73.00元/支
