name,src,create_company,report_company,prov,year,price
23价肺炎球菌多糖疫苗 注射剂,国产, 成都生物制品研究所有限责任公司, 成都生物制品研究所有限责任公司,青海省,2017,0
水痘减毒活疫苗 注射剂（冻干）,国产, 长春祈健生物制品有限公司, 长春祈健生物制品有限公司,青海省,2017,0
ACYW135群脑膜炎球菌多糖疫苗 注射剂（冻干）,国产, 北京智飞绿竹生物制药有限公司, 北京智飞绿竹生物制药有限公司,青海省,2017,0
AC群脑膜炎球菌（结合）b型流感嗜血杆菌（结合）联合疫苗 注射剂,国产, 北京智飞绿竹生物制药有限公司, 北京智飞绿竹生物制药有限公司,青海省,2017,0
A群C群脑膜炎球菌多糖结合疫苗 注射剂,国产, 北京智飞绿竹生物制药有限公司, 北京智飞绿竹生物制药有限公司,青海省,2017,0
b型流感嗜血杆菌结合疫苗 注射剂,国产, 北京智飞绿竹生物制药有限公司, 北京智飞绿竹生物制药有限公司,青海省,2017,0
流感病毒裂解疫苗 注射剂,国产, 上海生物制品研究所有限责任公司, 上海生物制品研究所有限责任公司,青海省,2017,0
流感病毒裂解疫苗（儿童型） 注射剂,国产, 上海生物制品研究所有限责任公司, 上海生物制品研究所有限责任公司,青海省,2017,0
流感病毒裂解疫苗（儿童型）（预充式） 注射剂,国产, 上海生物制品研究所有限责任公司, 上海生物制品研究所有限责任公司,青海省,2017,0
麻腮风联合减毒活疫苗 注射剂（冻干）,国产, 上海生物制品研究所有限责任公司, 上海生物制品研究所有限责任公司,青海省,2017,0
麻疹腮腺炎联合减毒活疫苗 注射剂（冻干）,国产, 上海生物制品研究所有限责任公司, 上海生物制品研究所有限责任公司,青海省,2017,0
水痘减毒活疫苗 注射剂（冻干）,国产, 上海生物制品研究所有限责任公司, 上海生物制品研究所有限责任公司,青海省,2017,0
乙型脑炎减毒活疫苗 注射剂,国产, 武汉生物制品研究所有限责任公司, 武汉生物制品研究所有限责任公司,青海省,2017,0
流感病毒裂解疫苗 注射剂,国产, 长春生物制品研究所有限责任公司, 长春生物制品研究所有限责任公司,青海省,2017,0
流感病毒裂解疫苗（儿童型）（预充式） 注射剂,国产, 长春生物制品研究所有限责任公司, 长春生物制品研究所有限责任公司,青海省,2017,0
流感病毒裂解疫苗（预充式） 注射剂,国产, 长春生物制品研究所有限责任公司, 长春生物制品研究所有限责任公司,青海省,2017,0
b型流感嗜血杆菌结合疫苗 注射剂,国产, 兰州生物制品研究所有限责任公司, 兰州生物制品研究所有限责任公司,青海省,2017,0
口服轮状病毒活疫苗 口服溶液剂,国产, 兰州生物制品研究所有限责任公司, 兰州生物制品研究所有限责任公司,青海省,2017,0
冻干人用狂犬病疫苗（Vero细胞） 注射剂（冻干）,国产, 广州诺诚生物制品股份有限公司, 广州诺诚生物制品股份有限公司,青海省,2017,0
麻腮风联合减毒活疫苗 注射剂（冻干）,国产, 北京北生研生物制品有限公司, 北京北生研生物制品有限公司,青海省,2017,0
麻疹风疹联合减毒活疫苗 注射剂（冻干）,国产, 北京北生研生物制品有限公司, 北京北生研生物制品有限公司,青海省,2017,0
重组乙型肝炎疫苗（酿酒酵母） 注射剂,国产, 北京北生研生物制品有限公司, 北京北生研生物制品有限公司,青海省,2017,0
A群C群脑膜炎球菌多糖结合疫苗 注射剂（冻干）,国产, 玉溪沃森生物技术有限公司, 玉溪沃森生物技术有限公司,青海省,2017,0
A群C群脑膜炎球菌多糖疫苗 注射剂,国产, 玉溪沃森生物技术有限公司, 玉溪沃森生物技术有限公司,青海省,2017,0
b型流感嗜血杆菌结合疫苗（预充式） 注射剂,国产, 玉溪沃森生物技术有限公司, 玉溪沃森生物技术有限公司,青海省,2017,0
