name,src,create_company,report_company,prov,year,price
麻腮风联合减毒活疫苗,国产,北京北生研生物制品有限公司  ,北京北生研生物制品有限公司  ,黑龙江省,2018,76.0
麻疹风疹联合减毒活疫苗,国产,北京北生研生物制品有限公司  ,北京北生研生物制品有限公司  ,黑龙江省,2018,45.0
重组乙型肝炎疫苗（酿酒酵母）,国产,北京北生研生物制品有限公司  ,北京北生研生物制品有限公司  ,黑龙江省,2018,108.0
肠道病毒71型灭活疫苗(Vero细胞),国产,北京科兴生物制品有限公司   ,北京科兴生物制品有限公司   ,黑龙江省,2018,168.0
肠道病毒71型灭活疫苗(Vero细胞),国产,北京科兴生物制品有限公司   ,北京科兴生物制品有限公司   ,黑龙江省,2018,188.0
甲型肝炎灭活疫苗,国产,北京科兴生物制品有限公司   ,北京科兴生物制品有限公司   ,黑龙江省,2018,80.0
甲型肝炎灭活疫苗,国产,北京科兴生物制品有限公司   ,北京科兴生物制品有限公司   ,黑龙江省,2018,90.0
甲型肝炎灭活疫苗,国产,北京科兴生物制品有限公司   ,北京科兴生物制品有限公司   ,黑龙江省,2018,108.0
甲型肝炎灭活疫苗,国产,北京科兴生物制品有限公司   ,北京科兴生物制品有限公司   ,黑龙江省,2018,113.0
甲型乙型肝炎联合疫苗,国产,北京科兴生物制品有限公司   ,北京科兴生物制品有限公司   ,黑龙江省,2018,110.0
流感病毒裂解疫苗,国产,北京科兴生物制品有限公司   ,北京科兴生物制品有限公司   ,黑龙江省,2018,25.0
流感病毒裂解疫苗（孕妇不可用）,国产,北京科兴生物制品有限公司   ,北京科兴生物制品有限公司   ,黑龙江省,2018,42.0
23价肺炎球菌多糖疫苗,进口,重庆智飞生物制品股份有限公司,重庆智飞生物制品股份有限公司,黑龙江省,2018,202.0
甲型肝炎灭活疫苗,进口,重庆智飞生物制品股份有限公司,重庆智飞生物制品股份有限公司,黑龙江省,2018,201.0
b型流感嗜血杆菌结合疫苗,国产,北京民海生物科技有限公司     ,北京民海生物科技有限公司     ,黑龙江省,2018,74.0
b型流感嗜血杆菌结合疫苗,国产,北京民海生物科技有限公司     ,北京民海生物科技有限公司     ,黑龙江省,2018,85.0
麻疹风疹联合减毒活疫苗,国产,北京民海生物科技有限公司     ,北京民海生物科技有限公司     ,黑龙江省,2018,42.0
无细胞百白破b型流感嗜血杆菌联合疫苗,国产,北京民海生物科技有限公司     ,北京民海生物科技有限公司     ,黑龙江省,2018,285.0
ACYW135群脑膜炎球菌多糖疫苗,国产,北京智飞绿竹生物制药有限公司    ,北京智飞绿竹生物制药有限公司    ,黑龙江省,2018,63.0
AC群脑膜炎球菌（结合）b型流感嗜血杆菌（结合）联合疫苗,国产,北京智飞绿竹生物制药有限公司    ,北京智飞绿竹生物制药有限公司    ,黑龙江省,2018,216.0
A群C群脑膜炎球菌多糖结合疫苗,国产,北京智飞绿竹生物制药有限公司    ,北京智飞绿竹生物制药有限公司    ,黑龙江省,2018,77.0
b型流感嗜血杆菌结合疫苗,国产,北京智飞绿竹生物制药有限公司    ,北京智飞绿竹生物制药有限公司    ,黑龙江省,2018,79.0
ACYW135群脑膜炎球菌多糖疫苗,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,黑龙江省,2018,55.0
人用狂犬病疫苗（人二倍体细胞）,国产,成都康华生物制品有限公司,成都康华生物制品有限公司,黑龙江省,2018,1375.0
吸附破伤风疫苗,国产,成都欧林生物科技股份有限公司,成都欧林生物科技股份有限公司,黑龙江省,2018,158.0
23价肺炎球菌多糖疫苗,国产,成都生物制品研究所有限责任公司 ,成都生物制品研究所有限责任公司 ,黑龙江省,2018,182.0
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,黑龙江省,2018,138.0
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,黑龙江省,2018,210.0
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,黑龙江省,2018,252.0
重组乙型肝炎疫苗（汉逊酵母）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,黑龙江省,2018,205.2
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,黑龙江省,2018,22.0
流感病毒裂解疫苗,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,黑龙江省,2018,24.0
流感病毒裂解疫苗（孕妇不可用）,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,黑龙江省,2018,37.0
流感病毒裂解疫苗（孕妇不可用）,国产,大连雅立峰生物制药有限公司,大连雅立峰生物制药有限公司,黑龙江省,2018,42.0
狂犬病人免疫球蛋白,国产,广东双林生物制药有限公司,广东双林生物制药有限公司,黑龙江省,2018,186.0
人用狂犬病疫苗（Vero细胞）,国产,广州诺诚生物制品股份有限公司,广州诺诚生物制品股份有限公司,黑龙江省,2018,265.0
吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,进口,国药控股股份有限公司,国药控股股份有限公司,黑龙江省,2018,599.0
流感病毒裂解疫苗（孕妇可用）,进口,杭州诚丰生物医药有限公司,杭州诚丰生物医药有限公司,黑龙江省,2018,128.0
人用狂犬病疫苗（地鼠肾细胞）,国产,河南远大生物制药有限公司,河南远大生物制药有限公司,黑龙江省,2018,265.0
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,黑龙江省,2018,180.0
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,黑龙江省,2018,210.0
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,黑龙江省,2018,240.0
重组乙型肝炎疫苗（CHO细胞）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,黑龙江省,2018,270.0
ACYW135群脑膜炎球菌多糖疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,黑龙江省,2018,60.0
流感病毒裂解疫苗,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,黑龙江省,2018,28.0
流感病毒裂解疫苗（孕妇不可用）,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,黑龙江省,2018,41.0
